A one-dimensional setting of the electrical breakdown problem

Phi_gradient = 5.625e+06
adaptation_type = 0
delta = 0.001
dt_max = 6.42e-6
duration = 5e-5
l = 1.5e-06
m = 12
t_grid = 500000
t_skip = 256
tol_energy = 2e-7
tol_phi = 1e-4
tol_stability = 1
width = 1.6e-5
x_grid = 32
x_skip = 1
Gamma() =
	[-inf, inf]:2.6 * 3.12228e-10
eps_0() =
	[-inf, inf]:2.6 * 8.85e-12
phi_0() =
	[-inf, 1.6e-5 * 0.34]:				1
	[1.6e-5 * 0.34, 1.6e-5 * 0.66]:		1 - 0.5 * 0.5 * (1 + cos((x / 1.6e-5 - 0.5) / 0.16 * pi))
	[1.6e-5 * 0.66, inf]:				1
t_0 = 0.00000000e+00

8;1;1;1;1;1;1;1;1;1;1;1;1;9.99322614e-01;9.43252613e-01;8.16678189e-01;6.65777537e-01;5.45603797e-01;5.00000000e-01;5.45603797e-01;6.65777537e-01;8.16678189e-01;9.43252613e-01;9.99322614e-01;1;1;1;1;1;1;1;1;1;1;1;-7.12449319e-03;4.35396234e-05;5.56547679e-04;5.83984482e+04;inf;5.06775474e+05;1.71237427e-09;1.00000000e-10;1.97326045e-06
8;256;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;9.99999655e-01;9.99294984e-01;9.43214489e-01;8.16598928e-01;6.65421967e-01;5.44590738e-01;4.98495287e-01;5.44590738e-01;6.65421967e-01;8.16598928e-01;9.43214489e-01;9.99294984e-01;9.99999655e-01;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;-7.13347886e-03;4.37606159e-05;5.57825535e-04;5.91637067e+04;2.95553524e+02;5.14100262e+05;1.69022540e-09;6.76696382e-10;1.94514587e-06
8;256;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;9.99999297e-01;9.99267362e-01;9.43176344e-01;8.16519470e-01;6.65064990e-01;5.43568721e-01;4.96970714e-01;5.43568721e-01;6.65064990e-01;8.16519470e-01;9.43176344e-01;9.99267362e-01;9.99999297e-01;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;-7.14263854e-03;4.39849429e-05;5.59112874e-04;5.99502856e+04;3.01960248e+02;5.21654407e+05;1.66804877e-09;6.62338838e-10;1.91697796e-06
8;256;1;1;1;1;1;1;1;1;1.00000000e+00;9.99999999e-01;9.99998926e-01;9.99239748e-01;9.43138179e-01;8.16439814e-01;6.64706595e-01;5.42537582e-01;4.95425722e-01;5.42537582e-01;6.64706595e-01;8.16439814e-01;9.43138179e-01;9.99239748e-01;9.99998926e-01;9.99999999e-01;1.00000000e+00;1;1;1;1;1;1;1;1;-7.15197826e-03;4.42126981e-05;5.60409859e-04;6.07591261e+04;3.08597867e+02;5.29448844e+05;1.64584329e-09;6.48092620e-10;1.88875660e-06
8;256;1;1;1;1;1;1;1;1;1.00000000e+00;9.99999999e-01;9.99998541e-01;9.99212142e-01;9.43099993e-01;8.16359960e-01;6.64346769e-01;5.41497154e-01;4.93859730e-01;5.41497154e-01;6.64346769e-01;8.16359960e-01;9.43099993e-01;9.99212142e-01;9.99998541e-01;9.99999999e-01;1.00000000e+00;1;1;1;1;1;1;1;1;-7.16150433e-03;4.44439792e-05;5.61716662e-04;6.15912266e+04;3.15478498e+02;5.37495215e+05;1.62360787e-09;6.33957626e-10;1.86048168e-06
8;256;1;1;1;1;1;1;1;1;1.00000000e+00;9.99999998e-01;9.99998143e-01;9.99184544e-01;9.43061787e-01;8.16279907e-01;6.63985503e-01;5.40447265e-01;4.92272128e-01;5.40447265e-01;6.63985503e-01;8.16279907e-01;9.43061787e-01;9.99184544e-01;9.99998143e-01;9.99999998e-01;1.00000000e+00;1;1;1;1;1;1;1;1;-7.17122343e-03;4.46788883e-05;5.63033456e-04;6.24476475e+04;3.22615115e+02;5.45805925e+05;1.60134135e-09;6.19933757e-10;1.83215307e-06
8;256;1;1;1;1;1;1;1;1;1.00000000e+00;9.99999997e-01;9.99997732e-01;9.99156955e-01;9.43023560e-01;8.16199653e-01;6.63622783e-01;5.39387738e-01;4.90662280e-01;5.39387738e-01;6.63622783e-01;8.16199653e-01;9.43023560e-01;9.99156955e-01;9.99997732e-01;9.99999997e-01;1.00000000e+00;1;1;1;1;1;1;1;1;-7.18114257e-03;4.49175321e-05;5.64360424e-04;6.33295161e+04;3.30021615e+02;5.54394208e+05;1.57904254e-09;6.06020912e-10;1.80377065e-06
8;256;1;1;1;1;1;1;1;1;1.00000000e+00;9.99999996e-01;9.99997307e-01;9.99129373e-01;9.42985312e-01;8.16119199e-01;6.63258598e-01;5.38318390e-01;4.89029519e-01;5.38318390e-01;6.63258598e-01;8.16119199e-01;9.42985312e-01;9.99129373e-01;9.99997307e-01;9.99999996e-01;1.00000000e+00;1;1;1;1;1;1;1;1;-7.19126915e-03;4.51600223e-05;5.65697753e-04;6.42380319e+04;3.37712912e+02;5.63274196e+05;1.55671021e-09;5.92218991e-10;1.77533430e-06
8;256;1;1;1;1;1;1;1;1;1.00000000e+00;9.99999994e-01;9.99996868e-01;9.99101799e-01;9.42947043e-01;8.16038543e-01;6.62892936e-01;5.37239034e-01;4.87373147e-01;5.37239034e-01;6.62892936e-01;8.16038543e-01;9.42947043e-01;9.99101799e-01;9.99996868e-01;9.99999994e-01;1.00000000e+00;1;1;1;1;1;1;1;1;-7.20161098e-03;4.54064756e-05;5.67045637e-04;6.51744728e+04;3.45705024e+02;5.72460997e+05;1.53434306e-09;5.78527895e-10;1.74684390e-06
8;256;1;1;1;1;1;1;1;1;1.00000000e+00;9.99999992e-01;9.99996417e-01;9.99074233e-01;9.42908754e-01;8.15957685e-01;6.62525784e-01;5.36149478e-01;4.85692432e-01;5.36149478e-01;6.62525784e-01;8.15957685e-01;9.42908754e-01;9.99074233e-01;9.99996417e-01;9.99999992e-01;1.00000000e+00;1;1;1;1;1;1;1;1;-7.21217629e-03;4.56570142e-05;5.68404277e-04;6.61402014e+04;3.54015180e+02;5.81970779e+05;1.51193976e-09;5.64947525e-10;1.71829933e-06
