A one-dimensional setting of the electrical breakdown problem
eps_0 = 2.00000000e-01
delta = 4.00000000e-02
l = 1.00000000e+00
Gamma = 1.00000000e+00
m = 5.00000000e-01
Phi_gradient = 4.80000000e+00
x_grid = 50
x_skip = 1
t_grid = 3200
t_skip = 64
width = 5.00000000e+00
duration = 1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.95225425e-01;9.67274575e-01;9.50000000e-01;9.67274575e-01;9.95225425e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999996e-01;9.99999943e-01;9.99999220e-01;9.99990993e-01;9.99915060e-01;9.99369212e-01;9.96497215e-01;9.86518592e-01;9.67781695e-01;9.57508249e-01;9.67781695e-01;9.86518592e-01;9.96497215e-01;9.99369212e-01;9.99915060e-01;9.99990993e-01;9.99999220e-01;9.99999943e-01;9.99999996e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999996e-01;9.99999963e-01;9.99999663e-01;9.99997311e-01;9.99981266e-01;9.99888049e-01;9.99437943e-01;9.97691493e-01;9.92505219e-01;9.81588802e-01;9.67500883e-01;9.60647057e-01;9.67500883e-01;9.81588802e-01;9.92505219e-01;9.97691493e-01;9.99437943e-01;9.99888049e-01;9.99981266e-01;9.99997311e-01;9.99999663e-01;9.99999963e-01;9.99999996e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999998e-01;9.99999988e-01;9.99999907e-01;9.99999370e-01;9.99996145e-01;9.99978976e-01;9.99898867e-01;9.99576768e-01;9.98484406e-01;9.95447819e-01;9.88801791e-01;9.78041092e-01;9.66618667e-01;9.61529567e-01;9.66618667e-01;9.78041092e-01;9.88801791e-01;9.95447819e-01;9.98484406e-01;9.99576768e-01;9.99898867e-01;9.99978976e-01;9.99996145e-01;9.99999370e-01;9.99999907e-01;9.99999988e-01;9.99999998e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999997e-01;9.99999978e-01;9.99999862e-01;9.99999214e-01;9.99995926e-01;9.99980862e-01;9.99919209e-01;9.99696454e-01;9.98996384e-01;9.97118073e-01;9.92919967e-01;9.85364863e-01;9.74982047e-01;9.65202866e-01;9.61100189e-01;9.65202866e-01;9.74982047e-01;9.85364863e-01;9.92919967e-01;9.97118073e-01;9.98996384e-01;9.99696454e-01;9.99919209e-01;9.99980862e-01;9.99995926e-01;9.99999214e-01;9.99999862e-01;9.99999978e-01;9.99999997e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999995e-01;9.99999970e-01;9.99999839e-01;9.99999194e-01;9.99996273e-01;9.99984188e-01;9.99938878e-01;9.99786270e-01;9.99329479e-01;9.98130211e-01;9.95413423e-01;9.90214243e-01;9.82051606e-01;9.72020004e-01;9.63297914e-01;9.59786915e-01;9.63297914e-01;9.72020004e-01;9.82051606e-01;9.90214243e-01;9.95413423e-01;9.98130211e-01;9.99329479e-01;9.99786270e-01;9.99938878e-01;9.99984188e-01;9.99996273e-01;9.99999194e-01;9.99999839e-01;9.99999970e-01;9.99999995e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999994e-01;9.99999967e-01;9.99999839e-01;9.99999261e-01;9.99996853e-01;9.99987605e-01;9.99955039e-01;9.99850658e-01;9.99548595e-01;9.98766950e-01;9.96979280e-01;9.93417425e-01;9.87348016e-01;9.78728616e-01;9.68955649e-01;9.60927355e-01;9.57789161e-01;9.60927355e-01;9.68955649e-01;9.78728616e-01;9.87348016e-01;9.93417425e-01;9.96979280e-01;9.98766950e-01;9.99548595e-01;9.99850658e-01;9.99955039e-01;9.99987605e-01;9.99996853e-01;9.99999261e-01;9.99999839e-01;9.99999967e-01;9.99999994e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999993e-01;9.99999967e-01;9.99999851e-01;9.99999366e-01;9.99997470e-01;9.99990582e-01;9.99967447e-01;9.99895973e-01;9.99694180e-01;9.99177324e-01;9.97986766e-01;9.95545934e-01;9.91148426e-01;9.84298886e-01;9.75287742e-01;9.65670325e-01;9.58095392e-01;9.55197817e-01;9.58095392e-01;9.65670325e-01;9.75287742e-01;9.84298886e-01;9.91148426e-01;9.95545934e-01;9.97986766e-01;9.99177324e-01;9.99694180e-01;9.99895973e-01;9.99967447e-01;9.99990582e-01;9.99997470e-01;9.99999366e-01;9.99999851e-01;9.99999967e-01;9.99999993e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999993e-01;9.99999970e-01;9.99999871e-01;9.99999481e-01;9.99998029e-01;9.99992985e-01;9.99976653e-01;9.99927611e-01;9.99791721e-01;9.99446296e-01;9.98646165e-01;9.96970442e-01;9.93826728e-01;9.88603083e-01;9.81027090e-01;9.71640321e-01;9.62080513e-01;9.54789969e-01;9.52046782e-01;9.54789969e-01;9.62080513e-01;9.71640321e-01;9.81027090e-01;9.88603083e-01;9.93826728e-01;9.96970442e-01;9.98646165e-01;9.99446296e-01;9.99791721e-01;9.99927611e-01;9.99976653e-01;9.99992985e-01;9.99998029e-01;9.99999481e-01;9.99999871e-01;9.99999970e-01;9.99999993e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999994e-01;9.99999974e-01;9.99999893e-01;9.99999587e-01;9.99998498e-01;9.99994844e-01;9.99983355e-01;9.99949624e-01;9.99857527e-01;9.99624777e-01;9.99083214e-01;9.97930111e-01;9.95699262e-01;9.91810252e-01;9.85762682e-01;9.77484673e-01;9.67709464e-01;9.58117275e-01;9.50985332e-01;9.48336210e-01;9.50985332e-01;9.58117275e-01;9.67709464e-01;9.77484673e-01;9.85762682e-01;9.91810252e-01;9.95699262e-01;9.97930111e-01;9.99083214e-01;9.99624777e-01;9.99857527e-01;9.99949624e-01;9.99983355e-01;9.99994844e-01;9.99998498e-01;9.99999587e-01;9.99999893e-01;9.99999974e-01;9.99999994e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
