A one-dimensional setting of the electrical breakdown problem
eps_0 = 2.00000000e-01
delta = 4.00000000e-02
l = 1.00000000e+00
Gamma = 1.00000000e+00
m = 5.00000000e-01
Phi_gradient = 4.80000000e+00
x_grid = 100
x_skip = 1
t_grid = 3200
t_skip = 64
width = 5.00000000e+00
duration = 1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.95225425e-01;9.82725425e-01;9.67274575e-01;9.54774575e-01;9.50000000e-01;9.54774575e-01;9.67274575e-01;9.82725425e-01;9.95225425e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999992e-01;9.99999948e-01;9.99999687e-01;9.99998292e-01;9.99991657e-01;9.99963711e-01;9.99860481e-01;9.99529495e-01;9.98618951e-01;9.96496602e-01;9.92359483e-01;9.85702144e-01;9.76984384e-01;9.67926234e-01;9.61011012e-01;9.58418445e-01;9.61011012e-01;9.67926234e-01;9.76984384e-01;9.85702144e-01;9.92359483e-01;9.96496602e-01;9.98618951e-01;9.99529495e-01;9.99860481e-01;9.99963711e-01;9.99991657e-01;9.99998292e-01;9.99999687e-01;9.99999948e-01;9.99999992e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999998e-01;9.99999992e-01;9.99999966e-01;9.99999858e-01;9.99999444e-01;9.99997956e-01;9.99992997e-01;9.99977687e-01;9.99934068e-01;9.99819796e-01;9.99545663e-01;9.98946034e-01;9.97755634e-01;9.95621508e-01;9.92185851e-01;9.87253458e-01;9.80999676e-01;9.74110268e-01;9.67731809e-01;9.63186297e-01;9.61535500e-01;9.63186297e-01;9.67731809e-01;9.74110268e-01;9.80999676e-01;9.87253458e-01;9.92185851e-01;9.95621508e-01;9.97755634e-01;9.98946034e-01;9.99545663e-01;9.99819796e-01;9.99934068e-01;9.99977687e-01;9.99992997e-01;9.99997956e-01;9.99999444e-01;9.99999858e-01;9.99999966e-01;9.99999992e-01;9.99999998e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999998e-01;9.99999991e-01;9.99999966e-01;9.99999884e-01;9.99999619e-01;9.99998815e-01;9.99996496e-01;9.99990180e-01;9.99973946e-01;9.99934650e-01;9.99845256e-01;9.99654555e-01;9.99273952e-01;9.98565058e-01;9.97336213e-01;9.95359753e-01;9.92420848e-01;9.88399140e-01;9.83366160e-01;9.77661778e-01;9.71904636e-01;9.66905544e-01;9.63489137e-01;9.62273762e-01;9.63489137e-01;9.66905544e-01;9.71904636e-01;9.77661778e-01;9.83366160e-01;9.88399140e-01;9.92420848e-01;9.95359753e-01;9.97336213e-01;9.98565058e-01;9.99273952e-01;9.99654555e-01;9.99845256e-01;9.99934650e-01;9.99973946e-01;9.99990180e-01;9.99996496e-01;9.99998815e-01;9.99999619e-01;9.99999884e-01;9.99999966e-01;9.99999991e-01;9.99999998e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999998e-01;9.99999993e-01;9.99999978e-01;9.99999934e-01;9.99999804e-01;9.99999445e-01;9.99998488e-01;9.99996055e-01;9.99990138e-01;9.99976408e-01;9.99946043e-01;9.99882117e-01;9.99754185e-01;9.99511172e-01;9.99073694e-01;9.98328592e-01;9.97130217e-01;9.95314051e-01;9.92727024e-01;9.89274393e-01;9.84975460e-01;9.80012237e-01;9.74750371e-01;9.69714446e-01;9.65511344e-01;9.62713412e-01;9.61731014e-01;9.62713412e-01;9.65511344e-01;9.69714446e-01;9.74750371e-01;9.80012237e-01;9.84975460e-01;9.89274393e-01;9.92727024e-01;9.95314051e-01;9.97130217e-01;9.98328592e-01;9.99073694e-01;9.99511172e-01;9.99754185e-01;9.99882117e-01;9.99946043e-01;9.99976408e-01;9.99990138e-01;9.99996055e-01;9.99998488e-01;9.99999445e-01;9.99999804e-01;9.99999934e-01;9.99999978e-01;9.99999993e-01;9.99999998e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999996e-01;9.99999989e-01;9.99999968e-01;9.99999911e-01;9.99999762e-01;9.99999386e-01;9.99998470e-01;9.99996317e-01;9.99991452e-01;9.99980879e-01;9.99958798e-01;9.99914533e-01;9.99829432e-01;9.99672679e-01;9.99396350e-01;9.98930684e-01;9.98181462e-01;9.97032175e-01;9.95353999e-01;9.93025773e-01;9.89963849e-01;9.86157980e-01;9.81705293e-01;9.76831530e-01;9.71888795e-01;9.67323041e-01;9.63612211e-01;9.61185292e-01;9.60340664e-01;9.61185292e-01;9.63612211e-01;9.67323041e-01;9.71888795e-01;9.76831530e-01;9.81705293e-01;9.86157980e-01;9.89963849e-01;9.93025773e-01;9.95353999e-01;9.97032175e-01;9.98181462e-01;9.98930684e-01;9.99396350e-01;9.99672679e-01;9.99829432e-01;9.99914533e-01;9.99958798e-01;9.99980879e-01;9.99991452e-01;9.99996317e-01;9.99998470e-01;9.99999386e-01;9.99999762e-01;9.99999911e-01;9.99999968e-01;9.99999989e-01;9.99999996e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999998e-01;9.99999995e-01;9.99999986e-01;9.99999962e-01;9.99999903e-01;9.99999758e-01;9.99999416e-01;9.99998631e-01;9.99996888e-01;9.99993144e-01;9.99985368e-01;9.99969761e-01;9.99939510e-01;9.99882928e-01;9.99780865e-01;9.99603470e-01;9.99306610e-01;9.98828741e-01;9.98089496e-01;9.96991695e-01;9.95428612e-01;9.93297791e-01;9.90521441e-01;9.87071372e-01;9.82994148e-01;9.78430252e-01;9.73620490e-01;9.68894209e-01;9.64637225e-01;9.61242231e-01;9.59049724e-01;9.58291479e-01;9.59049724e-01;9.61242231e-01;9.64637225e-01;9.68894209e-01;9.73620490e-01;9.78430252e-01;9.82994148e-01;9.87071372e-01;9.90521441e-01;9.93297791e-01;9.95428612e-01;9.96991695e-01;9.98089496e-01;9.98828741e-01;9.99306610e-01;9.99603470e-01;9.99780865e-01;9.99882928e-01;9.99939510e-01;9.99969761e-01;9.99985368e-01;9.99993144e-01;9.99996888e-01;9.99998631e-01;9.99999416e-01;9.99999758e-01;9.99999903e-01;9.99999962e-01;9.99999986e-01;9.99999995e-01;9.99999998e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999998e-01;9.99999994e-01;9.99999984e-01;9.99999961e-01;9.99999906e-01;9.99999779e-01;9.99999491e-01;9.99998861e-01;9.99997520e-01;9.99994744e-01;9.99989168e-01;9.99978296e-01;9.99957736e-01;9.99920038e-01;9.99853058e-01;9.99737812e-01;9.99545899e-01;9.99236802e-01;9.98755647e-01;9.98032316e-01;9.96983069e-01;9.95515871e-01;9.93540322e-01;9.90982282e-01;9.87802130e-01;9.84014117e-01;9.79703068e-01;9.75033983e-01;9.70250473e-01;9.65659340e-01;9.61601208e-01;9.58410177e-01;9.56368702e-01;9.55666007e-01;9.56368702e-01;9.58410177e-01;9.61601208e-01;9.65659340e-01;9.70250473e-01;9.75033983e-01;9.79703068e-01;9.84014117e-01;9.87802130e-01;9.90982282e-01;9.93540322e-01;9.95515871e-01;9.96983069e-01;9.98032316e-01;9.98755647e-01;9.99236802e-01;9.99545899e-01;9.99737812e-01;9.99853058e-01;9.99920038e-01;9.99957736e-01;9.99978296e-01;9.99989168e-01;9.99994744e-01;9.99997520e-01;9.99998861e-01;9.99999491e-01;9.99999779e-01;9.99999906e-01;9.99999961e-01;9.99999984e-01;9.99999994e-01;9.99999998e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999997e-01;9.99999994e-01;9.99999985e-01;9.99999964e-01;9.99999916e-01;9.99999811e-01;9.99999582e-01;9.99999096e-01;9.99998096e-01;9.99996084e-01;9.99992144e-01;9.99984631e-01;9.99970685e-01;9.99945498e-01;9.99901254e-01;9.99825701e-01;9.99700339e-01;9.99498325e-01;9.99182343e-01;9.98702883e-01;9.97997576e-01;9.96992419e-01;9.95605719e-01;9.93755421e-01;9.91369993e-01;9.88402271e-01;9.84844778e-01;9.80744102e-01;9.76211383e-01;9.71425841e-01;9.66628919e-01;9.62107850e-01;9.58169295e-01;9.55105847e-01;9.53160174e-01;9.52492882e-01;9.53160174e-01;9.55105847e-01;9.58169295e-01;9.62107850e-01;9.66628919e-01;9.71425841e-01;9.76211383e-01;9.80744102e-01;9.84844778e-01;9.88402271e-01;9.91369993e-01;9.93755421e-01;9.95605719e-01;9.96992419e-01;9.97997576e-01;9.98702883e-01;9.99182343e-01;9.99498325e-01;9.99700339e-01;9.99825701e-01;9.99901254e-01;9.99945498e-01;9.99970685e-01;9.99984631e-01;9.99992144e-01;9.99996084e-01;9.99998096e-01;9.99999096e-01;9.99999582e-01;9.99999811e-01;9.99999916e-01;9.99999964e-01;9.99999985e-01;9.99999994e-01;9.99999997e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999998e-01;9.99999994e-01;9.99999986e-01;9.99999969e-01;9.99999930e-01;9.99999846e-01;9.99999669e-01;9.99999305e-01;9.99998574e-01;9.99997137e-01;9.99994379e-01;9.99989209e-01;9.99979753e-01;9.99962876e-01;9.99933491e-01;9.99883606e-01;9.99801060e-01;9.99667976e-01;9.99459013e-01;9.99139613e-01;9.98664597e-01;9.97977595e-01;9.97011911e-01;9.95693468e-01;9.93946328e-01;9.91700997e-01;9.88905220e-01;9.85536328e-01;9.81613604e-01;9.77208599e-01;9.72451158e-01;9.67529096e-01;9.62680079e-01;9.58175289e-01;9.54295820e-01;9.51304233e-01;9.49415084e-01;9.48769035e-01;9.49415084e-01;9.51304233e-01;9.54295820e-01;9.58175289e-01;9.62680079e-01;9.67529096e-01;9.72451158e-01;9.77208599e-01;9.81613604e-01;9.85536328e-01;9.88905220e-01;9.91700997e-01;9.93946328e-01;9.95693468e-01;9.97011911e-01;9.97977595e-01;9.98664597e-01;9.99139613e-01;9.99459013e-01;9.99667976e-01;9.99801060e-01;9.99883606e-01;9.99933491e-01;9.99962876e-01;9.99979753e-01;9.99989209e-01;9.99994379e-01;9.99997137e-01;9.99998574e-01;9.99999305e-01;9.99999669e-01;9.99999846e-01;9.99999930e-01;9.99999969e-01;9.99999986e-01;9.99999994e-01;9.99999998e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
