A one-dimensional setting of the electrical breakdown problem

Phi_gradient = 5.625e+06
delta = 0.001
dt_max = 6.42e-6
duration = 1e-3
l = 1.5e-06
m = 1
t_grid = 10000000
t_skip = 5000
tol_energy = 5e-4
tol_phi = 1e-4
width = 1.6e-5
x_grid = 32
x_skip = 1
Gamma() =
	[-inf, inf]:2.6 * 3.12228e-10
eps_0() =
	[-inf, inf]:2.6 * 8.85e-12
phi_0() =
	[-inf, 1.6e-5 * 0.34]:				1
	[1.6e-5 * 0.34, 1.6e-5 * 0.66]:		1 - 0.5 * 0.5 * (1 + cos((x / 1.6e-5 - 0.5) / 0.16 * pi))
	[1.6e-5 * 0.66, inf]:				1
t_0 = 0.00000000e+00

1;1;1;1;1;1;1;1;1;1;1;9.99322614e-01;9.43252613e-01;8.16678189e-01;6.65777537e-01;5.45603797e-01;5.00000000e-01;5.45603797e-01;6.65777537e-01;8.16678189e-01;9.43252613e-01;9.99322614e-01;1;1;1;1;1;1;1;1;1;1;1;-7.12449319e-03;4.35396234e-05;5.56547679e-04;4.86653735e+03;inf;2.05484912e-08;1.00000000e-10
1;1;1;1;1;1;1;1;1;1.00000000e+00;9.99999432e-01;9.99277647e-01;9.43190551e-01;8.16549082e-01;6.65198088e-01;5.43950347e-01;4.97540756e-01;5.43950347e-01;6.65198088e-01;8.16549082e-01;9.43190551e-01;9.99277647e-01;9.99999432e-01;1.00000000e+00;1;1;1;1;1;1;1;1;1;-7.13920709e-03;4.39010160e-05;5.58632390e-04;4.97123721e+03;2.49637954e+01;2.01157168e-08;6.42000000e-06
1;1;1;1;1;1;1;1;1.00000000e+00;9.99999999e-01;9.99998829e-01;9.99232702e-01;9.43128436e-01;8.16419453e-01;6.64614892e-01;5.42272892e-01;4.95027967e-01;5.42272892e-01;6.64614892e-01;8.16419453e-01;9.43128436e-01;9.99232702e-01;9.99998829e-01;9.99999999e-01;1.00000000e+00;1;1;1;1;1;1;1;1;-7.15439200e-03;4.42713984e-05;5.60742496e-04;5.08077468e+03;2.58624195e+01;1.96820379e-08;6.42000000e-06
1;1;1;1;1;1;1;1;1.00000000e+00;9.99999998e-01;9.99998190e-01;9.99187778e-01;9.43066265e-01;8.16289297e-01;6.64027901e-01;5.40570711e-01;4.92459127e-01;5.40570711e-01;6.64027901e-01;8.16289297e-01;9.43066265e-01;9.99187778e-01;9.99998190e-01;9.99999998e-01;1.00000000e+00;1;1;1;1;1;1;1;1;-7.17007517e-03;4.46511915e-05;5.62878728e-04;5.19550762e+03;2.68154400e+01;1.92473974e-08;6.42000000e-06
1;1;1;1;1;1;1;1;1.00000000e+00;9.99999996e-01;9.99997516e-01;9.99142875e-01;9.43004040e-01;8.16158611e-01;6.63437064e-01;5.38843051e-01;4.89831540e-01;5.38843051e-01;6.63437064e-01;8.16158611e-01;9.43004040e-01;9.99142875e-01;9.99997516e-01;9.99999996e-01;1.00000000e+00;1;1;1;1;1;1;1;1;-7.18628622e-03;4.50408468e-05;5.65041858e-04;5.31583093e+03;2.78277112e+01;1.88117345e-08;6.42000000e-06
1;1;1;1;1;1;1;1;1.00000000e+00;9.99999994e-01;9.99996807e-01;9.99097994e-01;9.42941760e-01;8.16027392e-01;6.62842329e-01;5.37089121e-01;4.87142304e-01;5.37089121e-01;6.62842329e-01;8.16027392e-01;9.42941760e-01;9.99097994e-01;9.99996807e-01;9.99999994e-01;1.00000000e+00;1;1;1;1;1;1;1;1;-7.20305740e-03;4.54408501e-05;5.67232700e-04;5.44218146e+03;2.89046753e+01;1.83749845e-08;6.42000000e-06
1;1;1;1;1;1;1;1;1.00000000e+00;9.99999991e-01;9.99996062e-01;9.99053133e-01;9.42879424e-01;8.15895637e-01;6.62243643e-01;5.35308090e-01;4.84388287e-01;5.35308090e-01;6.62243643e-01;8.15895637e-01;9.42879424e-01;9.99053133e-01;9.99996062e-01;9.99999991e-01;1.00000000e+00;1;1;1;1;1;1;1;1;-7.22042394e-03;4.58517248e-05;5.69452113e-04;5.57504389e+03;3.00524534e+01;1.79370785e-08;6.42000000e-06
1;1;1;1;1;1;1;1;1.00000000e+00;9.99999987e-01;9.99995282e-01;9.99008293e-01;9.42817032e-01;8.15763341e-01;6.61640951e-01;5.33499088e-01;4.81566099e-01;5.33499088e-01;6.61640951e-01;8.15763341e-01;9.42817032e-01;9.99008293e-01;9.99995282e-01;9.99999987e-01;1.00000000e+00;1;1;1;1;1;1;1;1;-7.23842441e-03;4.62740360e-05;5.71701006e-04;5.71495750e+03;3.12779551e+01;1.74979429e-08;6.42000000e-06
1;1;1;1;1;1;1;1;1.00000000e+00;9.99999983e-01;9.99994467e-01;9.98963474e-01;9.42754584e-01;8.15630502e-01;6.61034200e-01;5.31661199e-01;4.78672068e-01;5.31661199e-01;6.61034200e-01;8.15630502e-01;9.42754584e-01;9.98963474e-01;9.99994467e-01;9.99999983e-01;1.00000000e+00;1;1;1;1;1;1;1;1;-7.25710117e-03;4.67083952e-05;5.73980344e-04;5.86252418e+03;3.25890084e+01;1.70574989e-08;6.42000000e-06
1;1;1;1;1;1;1;1;1.00000000e+00;9.99999979e-01;9.99993617e-01;9.98918676e-01;9.42692079e-01;8.15497115e-01;6.60423330e-01;5.29793460e-01;4.75702203e-01;5.29793460e-01;6.60423330e-01;8.15497115e-01;9.42692079e-01;9.98918676e-01;9.99993617e-01;9.99999979e-01;1.00000000e+00;1;1;1;1;1;1;1;1;-7.27650087e-03;4.71554658e-05;5.76291151e-04;6.01841798e+03;3.39945172e+01;1.66156622e-08;6.42000000e-06
1;1;1;1;1;1;1;1;1.00000000e+00;9.99999973e-01;9.99992732e-01;9.98873899e-01;9.42629518e-01;8.15363177e-01;6.59808285e-01;5.27894855e-01;4.72652153e-01;5.27894855e-01;6.59808285e-01;8.15363177e-01;9.42629518e-01;9.98873899e-01;9.99992732e-01;9.99999973e-01;1.00000000e+00;1;1;1;1;1;1;1;1;-7.29667501e-03;4.76159695e-05;5.78634514e-04;6.18339631e+03;3.55046524e+01;1.61723420e-08;6.42000000e-06
1;1;1;1;1;1;1;1;1.00000000e+00;9.99999967e-01;9.99991812e-01;9.98829141e-01;9.42566899e-01;8.15228685e-01;6.59189004e-01;5.25964316e-01;4.69517167e-01;5.25964316e-01;6.59189004e-01;8.15228685e-01;9.42566899e-01;9.98829141e-01;9.99991812e-01;9.99999967e-01;1.00000000e+00;1;1;1;1;1;1;1;1;-7.31768072e-03;4.80906929e-05;5.81011594e-04;6.35831349e+03;3.71310835e+01;1.57274409e-08;6.42000000e-06
1;1;1;1;1;1;1;1;1.00000000e+00;9.99999960e-01;9.99990857e-01;9.98784404e-01;9.42504222e-01;8.15093633e-01;6.58565426e-01;5.24000714e-01;4.66292040e-01;5.24000714e-01;6.58565426e-01;8.15093633e-01;9.42504222e-01;9.98784404e-01;9.99990857e-01;9.99999960e-01;1.00000000e+00;1;1;1;1;1;1;1;1;-7.33958152e-03;4.85804965e-05;5.83423631e-04;6.54413697e+03;3.88872650e+01;1.52808538e-08;6.42000000e-06
1;1;1;1;1;1;1;1;1.00000000e+00;9.99999952e-01;9.99989868e-01;9.98739688e-01;9.42441487e-01;8.14958019e-01;6.57937488e-01;5.22002857e-01;4.62971049e-01;5.22002857e-01;6.57937488e-01;8.14958019e-01;9.42441487e-01;9.98739688e-01;9.99989868e-01;9.99999952e-01;1.00000000e+00;1;1;1;1;1;1;1;1;-7.36244836e-03;4.90863243e-05;5.85871951e-04;6.74196690e+03;4.07887886e+01;1.48324668e-08;6.42000000e-06
1;1;1;1;1;1;1;1;1.00000000e+00;9.99999944e-01;9.99988844e-01;9.98694991e-01;9.42378693e-01;8.14821839e-01;6.57305125e-01;5.19969484e-01;4.59547884e-01;5.19969484e-01;6.57305125e-01;8.14821839e-01;9.42378693e-01;9.98694991e-01;9.99988844e-01;9.99999944e-01;1.00000000e+00;1;1;1;1;1;1;1;1;-7.38636081e-03;4.96092152e-05;5.88357981e-04;6.95306009e+03;4.28538234e+01;1.43821567e-08;6.42000000e-06
1;1;1;1;1;1;1;1;1.00000000e+00;9.99999934e-01;9.99987785e-01;9.98650315e-01;9.42315841e-01;8.14685088e-01;6.56668269e-01;5.17899259e-01;4.56015561e-01;5.17899259e-01;6.56668269e-01;8.14685088e-01;9.42315841e-01;9.98650315e-01;9.99987785e-01;9.99999934e-01;1.00000000e+00;1;1;1;1;1;1;1;1;-7.41140848e-03;5.01503170e-05;5.90883253e-04;7.17885925e+03;4.51036677e+01;1.39297897e-08;6.42000000e-06
1;1;1;1;1;1;1;1;1.00000000e+00;9.99999924e-01;9.99986692e-01;9.98605659e-01;9.42252929e-01;8.14547762e-01;6.56026854e-01;5.15790767e-01;4.52366322e-01;5.15790767e-01;6.56026854e-01;8.14547762e-01;9.42252929e-01;9.98605659e-01;9.99986692e-01;9.99999924e-01;1.00000000e+00;1;1;1;1;1;1;1;1;-7.43769281e-03;5.07109024e-05;5.93449421e-04;7.42102920e+03;4.75634485e+01;1.34752199e-08;6.42000000e-06
