A one-dimensional setting of the electrical breakdown problem

Phi_gradient = 5.625e+06
adaptation_type = 2
delta = 0.001
dt_max = 2e-6
duration = 2e-3
l = 1.5e-06
m = 12
t_grid = 20000000
t_skip = 2048
tol_energy = 1.9e-7
tol_phi = 5e-4
tol_stability = 1
width = 3.2e-5
x_grid = 64
x_skip = 1
Gamma() =
	[-inf, inf]:2.6 * 3.12228e-10
eps_0() =
	[-inf, inf]:2.6 * 8.85e-12
phi_0() =
	[-inf, 3.2e-5 * 0.42]:				1
	[3.2e-5 * 0.42, 3.2e-5 * 0.58]:		1 - 0.05 * 0.5 * (1 + cos((x / 3.2e-5 - 0.5) / 0.08 * pi))
	[3.2e-5 * 0.58, inf]:				1
t_0 = 0.00000000e+00

11;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;9.99932261e-01;9.94325261e-01;9.81667819e-01;9.66577754e-01;9.54560380e-01;9.50000000e-01;9.54560380e-01;9.66577754e-01;9.81667819e-01;9.94325261e-01;9.99932261e-01;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1.16471692e-02;4.35396234e-07;9.82332175e-06;1.39497549e+02;inf;5.25240248e+04;2.00000000e-06;1.00000000e-10;2.00000000e-06
11;12;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;9.99999701e-01;9.99910174e-01;9.94296722e-01;9.81656063e-01;9.66583378e-01;9.54576564e-01;9.50019229e-01;9.54576564e-01;9.66583378e-01;9.81656063e-01;9.94296722e-01;9.99910174e-01;9.99999701e-01;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1.16471651e-02;4.34602278e-07;9.81938460e-06;1.39056614e+02;3.10955039e-03;5.25240248e+04;2.00000000e-06;2.00000000e-06;2.00000000e-06
11;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;9.99999998e-01;9.99999345e-01;9.99888126e-01;9.94268244e-01;9.81644307e-01;9.66588985e-01;9.54592736e-01;9.50038454e-01;9.54592736e-01;9.66588985e-01;9.81644307e-01;9.94268244e-01;9.99888126e-01;9.99999345e-01;9.99999998e-01;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1.16471610e-02;4.33810691e-07;9.81545868e-06;1.38617239e+02;3.10204595e-03;5.25240248e+04;2.00000000e-06;2.00000000e-06;2.00000000e-06
12;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;9.99999993e-01;9.99998463e-01;9.99844149e-01;9.94211466e-01;9.81620796e-01;9.66600151e-01;9.54625043e-01;9.50076886e-01;9.54625043e-01;9.66600151e-01;9.81620796e-01;9.94211466e-01;9.99844149e-01;9.99998463e-01;9.99999993e-01;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1.16471529e-02;4.32234588e-07;9.80764037e-06;1.37743152e+02;3.08711918e-03;5.25240248e+04;2.00000000e-06;2.00000000e-06;2.00000000e-06
13;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999969e-01;9.99996024e-01;9.99756666e-01;9.94098627e-01;9.81573778e-01;9.66622287e-01;9.54689512e-01;9.50153686e-01;9.54689512e-01;9.66622287e-01;9.81573778e-01;9.94098627e-01;9.99756666e-01;9.99996024e-01;9.99999969e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1.16471368e-02;4.29110374e-07;9.79213675e-06;1.36013512e+02;3.05759009e-03;5.25240248e+04;2.00000000e-06;2.00000000e-06;2.00000000e-06
14;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999844e-01;9.99988507e-01;9.99583552e-01;9.93875782e-01;9.81479779e-01;9.66665779e-01;9.54817866e-01;9.50307021e-01;9.54817866e-01;9.66665779e-01;9.81479779e-01;9.93875782e-01;9.99583552e-01;9.99988507e-01;9.99999844e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1.16471051e-02;4.22971714e-07;9.76165281e-06;1.32627429e+02;2.99980041e-03;5.25240248e+04;2.00000000e-06;2.00000000e-06;2.00000000e-06
14;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999994e-01;9.99999487e-01;9.99975935e-01;9.99414036e-01;9.93658485e-01;9.81385912e-01;9.66707744e-01;9.54945048e-01;9.50459799e-01;9.54945048e-01;9.66707744e-01;9.81385912e-01;9.93658485e-01;9.99414036e-01;9.99975935e-01;9.99999487e-01;9.99999994e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1.16470741e-02;4.17002586e-07;9.73194956e-06;1.29383529e+02;2.91069776e-03;5.25240248e+04;2.00000000e-06;2.00000000e-06;2.00000000e-06
14;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999978e-01;9.99998751e-01;9.99958736e-01;9.99247904e-01;9.93446503e-01;9.81292298e-01;9.66748240e-01;9.55071057e-01;9.50611971e-01;9.55071057e-01;9.66748240e-01;9.81292298e-01;9.93446503e-01;9.99247904e-01;9.99958736e-01;9.99998751e-01;9.99999978e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1.16470440e-02;4.11195038e-07;9.70299651e-06;1.26274598e+02;2.82617915e-03;5.25240248e+04;2.00000000e-06;2.00000000e-06;2.00000000e-06
14;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999939e-01;9.99997512e-01;9.99937299e-01;9.99084964e-01;9.93239615e-01;9.81199042e-01;9.66787326e-01;9.55195892e-01;9.50763493e-01;9.55195892e-01;9.66787326e-01;9.81199042e-01;9.93239615e-01;9.99084964e-01;9.99937299e-01;9.99997512e-01;9.99999939e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1.16470146e-02;4.05541741e-07;9.67476536e-06;1.23293750e+02;2.74586961e-03;5.25240248e+04;2.00000000e-06;2.00000000e-06;2.00000000e-06
14;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999997e-01;9.99999864e-01;9.99995666e-01;9.99911977e-01;9.98925042e-01;9.93037611e-01;9.81106239e-01;9.66825062e-01;9.55319552e-01;9.50914321e-01;9.55319552e-01;9.66825062e-01;9.81106239e-01;9.93037611e-01;9.98925042e-01;9.99911977e-01;9.99995666e-01;9.99999864e-01;9.99999997e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1.16469860e-02;4.00035918e-07;9.64722983e-06;1.20434424e+02;2.66943522e-03;5.25240248e+04;2.00000000e-06;2.00000000e-06;2.00000000e-06
