A one-dimensional setting of the electrical breakdown problem
eps_0 = 2.00000000e-01
delta = 4.00000000e-02
l = 1.00000000e+00
Gamma = 1.00000000e+00
m = 5.00000000e-01
Phi_gradient = 4.80000000e+00
x_grid = 71
x_skip = 1
t_grid = 566
t_skip = 11
width = 5.00000000e+00
duration = 1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99975531e-01;9.89961808e-01;9.68975807e-01;9.52407663e-01;9.52407663e-01;9.68975807e-01;9.89961808e-01;9.99975531e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999996e-01;9.99999913e-01;9.99998772e-01;9.99987269e-01;9.99901680e-01;9.99432454e-01;9.97561012e-01;9.92256959e-01;9.81942177e-01;9.68877939e-01;9.59488842e-01;9.59488842e-01;9.68877939e-01;9.81942177e-01;9.92256959e-01;9.97561012e-01;9.99432454e-01;9.99901680e-01;9.99987269e-01;9.99998772e-01;9.99999913e-01;9.99999996e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999996e-01;9.99999963e-01;9.99999703e-01;9.99997990e-01;9.99988387e-01;9.99942894e-01;9.99761732e-01;9.99160044e-01;9.97509918e-01;9.93820936e-01;9.87212705e-01;9.77971171e-01;9.68396176e-01;9.62173449e-01;9.62173449e-01;9.68396176e-01;9.77971171e-01;9.87212705e-01;9.93820936e-01;9.97509918e-01;9.99160044e-01;9.99761732e-01;9.99942894e-01;9.99988387e-01;9.99997990e-01;9.99999703e-01;9.99999963e-01;9.99999996e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999993e-01;9.99999954e-01;9.99999736e-01;9.99998637e-01;9.99993715e-01;9.99974149e-01;9.99905420e-01;9.99693014e-01;9.99118615e-01;9.97768218e-01;9.95030181e-01;9.90291180e-01;9.83391054e-01;9.75145435e-01;9.67479134e-01;9.62799460e-01;9.62799460e-01;9.67479134e-01;9.75145435e-01;9.83391054e-01;9.90291180e-01;9.95030181e-01;9.97768218e-01;9.99118615e-01;9.99693014e-01;9.99905420e-01;9.99974149e-01;9.99993715e-01;9.99998637e-01;9.99999736e-01;9.99999954e-01;9.99999993e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999994e-01;9.99999967e-01;9.99999838e-01;9.99999278e-01;9.99997057e-01;9.99989026e-01;9.99962655e-01;9.99884233e-01;9.99673725e-01;9.99165644e-01;9.98067976e-01;9.95956734e-01;9.92365782e-01;9.87013195e-01;9.80115879e-01;9.72616505e-01;9.66095280e-01;9.62270119e-01;9.62270119e-01;9.66095280e-01;9.72616505e-01;9.80115879e-01;9.87013195e-01;9.92365782e-01;9.95956734e-01;9.98067976e-01;9.99165644e-01;9.99673725e-01;9.99884233e-01;9.99962655e-01;9.99989026e-01;9.99997057e-01;9.99999278e-01;9.99999838e-01;9.99999967e-01;9.99999994e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999996e-01;9.99999981e-01;9.99999915e-01;9.99999656e-01;9.99998701e-01;9.99995448e-01;9.99985208e-01;9.99955473e-01;9.99876013e-01;9.99681091e-01;9.99243410e-01;9.98346794e-01;9.96677520e-01;9.93866371e-01;9.89609699e-01;9.83862505e-01;9.77033861e-01;9.70063182e-01;9.64268608e-01;9.60960255e-01;9.60960255e-01;9.64268608e-01;9.70063182e-01;9.77033861e-01;9.83862505e-01;9.89609699e-01;9.93866371e-01;9.96677520e-01;9.98346794e-01;9.99243410e-01;9.99681091e-01;9.99876013e-01;9.99955473e-01;9.99985208e-01;9.99995448e-01;9.99998701e-01;9.99999656e-01;9.99999915e-01;9.99999981e-01;9.99999996e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999998e-01;9.99999990e-01;9.99999959e-01;9.99999844e-01;9.99999442e-01;9.99998129e-01;9.99994113e-01;9.99982638e-01;9.99952065e-01;9.99876234e-01;9.99701488e-01;9.99328179e-01;9.98590717e-01;9.97247432e-01;9.94999063e-01;9.91555501e-01;9.86756097e-01;9.80717300e-01;9.73945424e-01;9.67337134e-01;9.62017882e-01;9.59039086e-01;9.59039086e-01;9.62017882e-01;9.67337134e-01;9.73945424e-01;9.80717300e-01;9.86756097e-01;9.91555501e-01;9.94999063e-01;9.97247432e-01;9.98590717e-01;9.99328179e-01;9.99701488e-01;9.99876234e-01;9.99952065e-01;9.99982638e-01;9.99994113e-01;9.99998129e-01;9.99999442e-01;9.99999844e-01;9.99999959e-01;9.99999990e-01;9.99999998e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999995e-01;9.99999981e-01;9.99999931e-01;9.99999764e-01;9.99999234e-01;9.99997646e-01;9.99993162e-01;9.99981240e-01;9.99951432e-01;9.99881450e-01;9.99727411e-01;9.99410084e-01;9.98799468e-01;9.97704387e-01;9.95878744e-01;9.93058194e-01;9.89035511e-01;9.83766871e-01;9.77478539e-01;9.70725411e-01;9.64353652e-01;9.59346798e-01;9.56583204e-01;9.56583204e-01;9.59346798e-01;9.64353652e-01;9.70725411e-01;9.77478539e-01;9.83766871e-01;9.89035511e-01;9.93058194e-01;9.95878744e-01;9.97704387e-01;9.98799468e-01;9.99410084e-01;9.99727411e-01;9.99881450e-01;9.99951432e-01;9.99981240e-01;9.99993162e-01;9.99997646e-01;9.99999234e-01;9.99999764e-01;9.99999931e-01;9.99999981e-01;9.99999995e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999998e-01;9.99999992e-01;9.99999970e-01;9.99999901e-01;9.99999687e-01;9.99999055e-01;9.99997286e-01;9.99992591e-01;9.99980780e-01;9.99952659e-01;9.99889360e-01;9.99754828e-01;9.99485235e-01;9.98976647e-01;9.98075008e-01;9.96575913e-01;9.94243893e-01;9.90859300e-01;9.86292863e-01;9.80594139e-01;9.74065405e-01;9.67285188e-01;9.61052430e-01;9.56245132e-01;9.53621173e-01;9.53621173e-01;9.56245132e-01;9.61052430e-01;9.67285188e-01;9.74065405e-01;9.80594139e-01;9.86292863e-01;9.90859300e-01;9.94243893e-01;9.96575913e-01;9.98075008e-01;9.98976647e-01;9.99485235e-01;9.99754828e-01;9.99889360e-01;9.99952659e-01;9.99980780e-01;9.99992591e-01;9.99997286e-01;9.99999055e-01;9.99999687e-01;9.99999901e-01;9.99999970e-01;9.99999992e-01;9.99999998e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999996e-01;9.99999987e-01;9.99999959e-01;9.99999872e-01;9.99999619e-01;9.99998917e-01;9.99997053e-01;9.99992344e-01;9.99981007e-01;9.99955042e-01;9.99898509e-01;9.99781627e-01;9.99552419e-01;9.99126634e-01;9.98378448e-01;9.97136840e-01;9.95194560e-01;9.92336638e-01;9.88391597e-01;9.83300345e-01;9.77187134e-01;9.70408401e-01;9.63553731e-01;9.57381602e-01;9.52690849e-01;9.50153080e-01;9.50153080e-01;9.52690849e-01;9.57381602e-01;9.63553731e-01;9.70408401e-01;9.77187134e-01;9.83300345e-01;9.88391597e-01;9.92336638e-01;9.95194560e-01;9.97136840e-01;9.98378448e-01;9.99126634e-01;9.99552419e-01;9.99781627e-01;9.99898509e-01;9.99955042e-01;9.99981007e-01;9.99992344e-01;9.99997053e-01;9.99998917e-01;9.99999619e-01;9.99999872e-01;9.99999959e-01;9.99999987e-01;9.99999996e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
