A one-dimensional setting of the electrical breakdown problem
eps_0 = 2.00000000e-01
delta = 4.00000000e-02
l = 1.00000000e+00
Gamma = 1.00000000e+00
m = 5.00000000e-01
Phi_gradient = 4.80000000e+00
x_grid = 50
x_skip = 1
t_grid = 400
t_skip = 8
width = 5.00000000e+00
duration = 1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.95225425e-01;9.67274575e-01;9.50000000e-01;9.67274575e-01;9.95225425e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999993e-01;9.99999773e-01;9.99995422e-01;9.99937941e-01;9.99430358e-01;9.96512890e-01;9.86321848e-01;9.67822294e-01;9.57746352e-01;9.67822294e-01;9.86321848e-01;9.96512890e-01;9.99430358e-01;9.99937941e-01;9.99995422e-01;9.99999773e-01;9.99999993e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999991e-01;9.99999880e-01;9.99998643e-01;9.99987704e-01;9.99911061e-01;9.99492399e-01;9.97753067e-01;9.92466847e-01;9.81446030e-01;9.67566824e-01;9.60888827e-01;9.67566824e-01;9.81446030e-01;9.92466847e-01;9.97753067e-01;9.99492399e-01;9.99911061e-01;9.99987704e-01;9.99998643e-01;9.99999880e-01;9.99999991e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999997e-01;9.99999967e-01;9.99999707e-01;9.99997742e-01;9.99985216e-01;9.99918253e-01;9.99621804e-01;9.98553451e-01;9.95492624e-01;9.88755707e-01;9.77966818e-01;9.66706887e-01;9.61739906e-01;9.66706887e-01;9.77966818e-01;9.88755707e-01;9.95492624e-01;9.98553451e-01;9.99621804e-01;9.99918253e-01;9.99985216e-01;9.99997742e-01;9.99999707e-01;9.99999967e-01;9.99999997e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999993e-01;9.99999942e-01;9.99999590e-01;9.99997459e-01;9.99986202e-01;9.99934690e-01;9.99732483e-01;9.99059761e-01;9.97192457e-01;9.92957506e-01;9.85337967e-01;9.74964983e-01;9.65310295e-01;9.61289955e-01;9.65310295e-01;9.74964983e-01;9.85337967e-01;9.92957506e-01;9.97192457e-01;9.99059761e-01;9.99732483e-01;9.99934690e-01;9.99986202e-01;9.99997459e-01;9.99999590e-01;9.99999942e-01;9.99999993e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999998e-01;9.99999989e-01;9.99999925e-01;9.99999554e-01;9.99997607e-01;9.99988513e-01;9.99950932e-01;9.99814485e-01;9.99383119e-01;9.98208675e-01;9.95493177e-01;9.90257794e-01;9.82055701e-01;9.72051049e-01;9.63425403e-01;9.59971609e-01;9.63425403e-01;9.72051049e-01;9.82055701e-01;9.90257794e-01;9.95493177e-01;9.98208675e-01;9.99383119e-01;9.99814485e-01;9.99950932e-01;9.99988513e-01;9.99997607e-01;9.99999554e-01;9.99999925e-01;9.99999989e-01;9.99999998e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999998e-01;9.99999986e-01;9.99999921e-01;9.99999577e-01;9.99997953e-01;9.99991003e-01;9.99964280e-01;9.99872423e-01;9.99592075e-01;9.98838535e-01;9.97072402e-01;9.93507345e-01;9.87408765e-01;9.78769404e-01;9.69030552e-01;9.61078755e-01;9.57982151e-01;9.61078755e-01;9.69030552e-01;9.78769404e-01;9.87408765e-01;9.93507345e-01;9.97072402e-01;9.98838535e-01;9.99592075e-01;9.99872423e-01;9.99964280e-01;9.99991003e-01;9.99997953e-01;9.99999577e-01;9.99999921e-01;9.99999986e-01;9.99999998e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999998e-01;9.99999986e-01;9.99999924e-01;9.99999631e-01;9.99998347e-01;9.99993203e-01;9.99974457e-01;9.99912574e-01;9.99728500e-01;9.99238193e-01;9.98077325e-01;9.95655926e-01;9.91255156e-01;9.84385830e-01;9.75369306e-01;9.65788817e-01;9.58276423e-01;9.55410548e-01;9.58276423e-01;9.65788817e-01;9.75369306e-01;9.84385830e-01;9.91255156e-01;9.95655926e-01;9.98077325e-01;9.99238193e-01;9.99728500e-01;9.99912574e-01;9.99974457e-01;9.99993203e-01;9.99998347e-01;9.99999631e-01;9.99999924e-01;9.99999986e-01;9.99999998e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999997e-01;9.99999986e-01;9.99999933e-01;9.99999695e-01;9.99998714e-01;9.99994981e-01;9.99981931e-01;9.99940164e-01;9.99818331e-01;9.99495975e-01;9.98726729e-01;9.97082209e-01;9.93957737e-01;9.88733930e-01;9.81148054e-01;9.71767024e-01;9.62245332e-01;9.55007705e-01;9.52289821e-01;9.55007705e-01;9.62245332e-01;9.71767024e-01;9.81148054e-01;9.88733930e-01;9.93957737e-01;9.97082209e-01;9.98726729e-01;9.99495975e-01;9.99818331e-01;9.99940164e-01;9.99981931e-01;9.99994981e-01;9.99998714e-01;9.99999695e-01;9.99999933e-01;9.99999986e-01;9.99999997e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999998e-01;9.99999988e-01;9.99999944e-01;9.99999758e-01;9.99999025e-01;9.99996351e-01;9.99987303e-01;9.99959053e-01;9.99877897e-01;9.99664262e-01;9.99151245e-01;9.98033268e-01;9.95835765e-01;9.91967819e-01;9.85925342e-01;9.77647233e-01;9.67886739e-01;9.58333578e-01;9.51248114e-01;9.48620126e-01;9.51248114e-01;9.58333578e-01;9.67886739e-01;9.77647233e-01;9.85925342e-01;9.91967819e-01;9.95835765e-01;9.98033268e-01;9.99151245e-01;9.99664262e-01;9.99877897e-01;9.99959053e-01;9.99987303e-01;9.99996351e-01;9.99999025e-01;9.99999758e-01;9.99999944e-01;9.99999988e-01;9.99999998e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
