A one-dimensional setting of the electrical breakdown problem
eps_0 = 2.00000000e-01
delta = 4.00000000e-02
l = 1.00000000e+00
Gamma = 1.00000000e+00
m = 5.00000000e-01
Phi_gradient = 4.80000000e+00
x_grid = 35
x_skip = 1
t_grid = 400
t_skip = 8
width = 5.00000000e+00
duration = 1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.97524222e-01;9.59412755e-01;9.59412755e-01;9.97524222e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999996e-01;9.99999818e-01;9.99994667e-01;9.99895625e-01;9.98677949e-01;9.89989360e-01;9.62457087e-01;9.62457087e-01;9.89989360e-01;9.98677949e-01;9.99895625e-01;9.99994667e-01;9.99999818e-01;9.99999996e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999981e-01;9.99999639e-01;9.99994514e-01;9.99935416e-01;9.99428815e-01;9.96380479e-01;9.84825905e-01;9.63682767e-01;9.63682767e-01;9.84825905e-01;9.96380479e-01;9.99428815e-01;9.99935416e-01;9.99994514e-01;9.99999639e-01;9.99999981e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999978e-01;9.99999692e-01;9.99996482e-01;9.99967082e-01;9.99752737e-01;9.98553390e-01;9.93693996e-01;9.80860773e-01;9.63710014e-01;9.63710014e-01;9.80860773e-01;9.93693996e-01;9.98553390e-01;9.99752737e-01;9.99967082e-01;9.99996482e-01;9.99999692e-01;9.99999978e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999982e-01;9.99999799e-01;9.99998060e-01;9.99984140e-01;9.99891650e-01;9.99394324e-01;9.97306734e-01;9.90840075e-01;9.77457677e-01;9.62879042e-01;9.62879042e-01;9.77457677e-01;9.90840075e-01;9.97306734e-01;9.99394324e-01;9.99891650e-01;9.99984140e-01;9.99998060e-01;9.99999799e-01;9.99999982e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999988e-01;9.99999884e-01;9.99999000e-01;9.99992522e-01;9.99951999e-01;9.99739469e-01;9.98827427e-01;9.95734762e-01;9.87878949e-01;9.74257829e-01;9.61376078e-01;9.61376078e-01;9.74257829e-01;9.87878949e-01;9.95734762e-01;9.98827427e-01;9.99739469e-01;9.99951999e-01;9.99992522e-01;9.99999000e-01;9.99999884e-01;9.99999988e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999993e-01;9.99999937e-01;9.99999502e-01;9.99996506e-01;9.99978546e-01;9.99885933e-01;9.99482436e-01;9.98031800e-01;9.93869191e-01;9.84801298e-01;9.71047084e-01;9.59299698e-01;9.59299698e-01;9.71047084e-01;9.84801298e-01;9.93869191e-01;9.98031800e-01;9.99482436e-01;9.99885933e-01;9.99978546e-01;9.99996506e-01;9.99999502e-01;9.99999937e-01;9.99999993e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999996e-01;9.99999967e-01;9.99999757e-01;9.99998375e-01;9.99990342e-01;9.99949430e-01;9.99769206e-01;9.99094174e-01;9.96992710e-01;9.91723723e-01;9.81568861e-01;9.67687136e-01;9.56696223e-01;9.56696223e-01;9.67687136e-01;9.81568861e-01;9.91723723e-01;9.96992710e-01;9.99094174e-01;9.99769206e-01;9.99949430e-01;9.99990342e-01;9.99998375e-01;9.99999757e-01;9.99999967e-01;9.99999996e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999998e-01;9.99999983e-01;9.99999883e-01;9.99999245e-01;9.99995627e-01;9.99977371e-01;9.99896271e-01;9.99583161e-01;9.98549708e-01;9.95696051e-01;9.89296049e-01;9.78131712e-01;9.64079176e-01;9.53578848e-01;9.53578848e-01;9.64079176e-01;9.78131712e-01;9.89296049e-01;9.95696051e-01;9.98549708e-01;9.99583161e-01;9.99896271e-01;9.99977371e-01;9.99995627e-01;9.99999245e-01;9.99999883e-01;9.99999983e-01;9.99999998e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999992e-01;9.99999944e-01;9.99999649e-01;9.99998011e-01;9.99989801e-01;9.99953088e-01;9.99808002e-01;9.99307559e-01;9.97824525e-01;9.94125383e-01;9.86570877e-01;9.74434965e-01;9.60144099e-01;9.49937988e-01;9.49937988e-01;9.60144099e-01;9.74434965e-01;9.86570877e-01;9.94125383e-01;9.97824525e-01;9.99307559e-01;9.99808002e-01;9.99953088e-01;9.99989801e-01;9.99998011e-01;9.99999649e-01;9.99999944e-01;9.99999992e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00
