A one-dimensional setting of the electrical breakdown problem
eps_0 = 2.00000000e-01
delta = 4.00000000e-02
l = 1.00000000e+00
Gamma = 1.00000000e+00
m = 5.00000000e-01
Phi_gradient = 4.80000000e+00
x_grid = 141
x_skip = 1
t_grid = 800
t_skip = 16
width = 5.00000000e+00
duration = 1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99252895e-01;9.94269930e-01;9.85523369e-01;9.74721496e-01;9.63974017e-01;9.55380015e-01;9.50617980e-01;9.50617980e-01;9.55380015e-01;9.63974017e-01;9.74721496e-01;9.85523369e-01;9.94269930e-01;9.99252895e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999998e-01;9.99999985e-01;9.99999896e-01;9.99999403e-01;9.99997146e-01;9.99988426e-01;9.99959493e-01;9.99876045e-01;9.99664747e-01;9.99191214e-01;9.98245693e-01;9.96554462e-01;9.93833217e-01;9.89883332e-01;9.84706656e-01;9.78593727e-01;9.72139298e-01;9.66162152e-01;9.61542392e-01;9.59021048e-01;9.59021048e-01;9.61542392e-01;9.66162152e-01;9.72139298e-01;9.78593727e-01;9.84706656e-01;9.89883332e-01;9.93833217e-01;9.96554462e-01;9.98245693e-01;9.99191214e-01;9.99664747e-01;9.99876045e-01;9.99959493e-01;9.99988426e-01;9.99997146e-01;9.99999403e-01;9.99999896e-01;9.99999985e-01;9.99999998e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999997e-01;9.99999989e-01;9.99999957e-01;9.99999847e-01;9.99999497e-01;9.99998459e-01;9.99995607e-01;9.99988306e-01;9.99970851e-01;9.99931817e-01;9.99850004e-01;9.99689061e-01;9.99391501e-01;9.98873904e-01;9.98026136e-01;9.96717994e-01;9.94816072e-01;9.92211431e-01;9.88854939e-01;9.84793050e-01;9.80193757e-01;9.75352274e-01;9.70669350e-01;9.66601598e-01;9.63591134e-01;9.61988798e-01;9.61988798e-01;9.63591134e-01;9.66601598e-01;9.70669350e-01;9.75352274e-01;9.80193757e-01;9.84793050e-01;9.88854939e-01;9.92211431e-01;9.94816072e-01;9.96717994e-01;9.98026136e-01;9.98873904e-01;9.99391501e-01;9.99689061e-01;9.99850004e-01;9.99931817e-01;9.99970851e-01;9.99988306e-01;9.99995607e-01;9.99998459e-01;9.99999497e-01;9.99999847e-01;9.99999957e-01;9.99999989e-01;9.99999997e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999998e-01;9.99999993e-01;9.99999979e-01;9.99999938e-01;9.99999829e-01;9.99999549e-01;9.99998862e-01;9.99997255e-01;9.99993668e-01;9.99986012e-01;9.99970376e-01;9.99939816e-01;9.99882606e-01;9.99779982e-01;9.99603516e-01;9.99312545e-01;9.98852392e-01;9.98154399e-01;9.97138913e-01;9.95722257e-01;9.93828089e-01;9.91402609e-01;9.88431814e-01;9.84957761e-01;9.81090045e-01;9.77008701e-01;9.72955768e-01;9.69214691e-01;9.66079305e-01;9.63816722e-01;9.62630408e-01;9.62630408e-01;9.63816722e-01;9.66079305e-01;9.69214691e-01;9.72955768e-01;9.77008701e-01;9.81090045e-01;9.84957761e-01;9.88431814e-01;9.91402609e-01;9.93828089e-01;9.95722257e-01;9.97138913e-01;9.98154399e-01;9.98852392e-01;9.99312545e-01;9.99603516e-01;9.99779982e-01;9.99882606e-01;9.99939816e-01;9.99970376e-01;9.99986012e-01;9.99993668e-01;9.99997255e-01;9.99998862e-01;9.99999549e-01;9.99999829e-01;9.99999938e-01;9.99999979e-01;9.99999993e-01;9.99999998e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999997e-01;9.99999993e-01;9.99999982e-01;9.99999954e-01;9.99999887e-01;9.99999731e-01;9.99999385e-01;9.99998638e-01;9.99997084e-01;9.99993952e-01;9.99987853e-01;9.99976359e-01;9.99955398e-01;9.99918396e-01;9.99855158e-01;9.99750500e-01;9.99582759e-01;9.99322375e-01;9.98930911e-01;9.98360949e-01;9.97557406e-01;9.96460743e-01;9.95012386e-01;9.93162343e-01;9.90878506e-01;9.88156628e-01;9.85029474e-01;9.81573347e-01;9.77910246e-01;9.74204274e-01;9.70651681e-01;9.67464975e-01;9.64852615e-01;9.62996860e-01;9.62032957e-01;9.62032957e-01;9.62996860e-01;9.64852615e-01;9.67464975e-01;9.70651681e-01;9.74204274e-01;9.77910246e-01;9.81573347e-01;9.85029474e-01;9.88156628e-01;9.90878506e-01;9.93162343e-01;9.95012386e-01;9.96460743e-01;9.97557406e-01;9.98360949e-01;9.98930911e-01;9.99322375e-01;9.99582759e-01;9.99750500e-01;9.99855158e-01;9.99918396e-01;9.99955398e-01;9.99976359e-01;9.99987853e-01;9.99993952e-01;9.99997084e-01;9.99998638e-01;9.99999385e-01;9.99999731e-01;9.99999887e-01;9.99999954e-01;9.99999982e-01;9.99999993e-01;9.99999997e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999998e-01;9.99999995e-01;9.99999988e-01;9.99999973e-01;9.99999939e-01;9.99999864e-01;9.99999707e-01;9.99999384e-01;9.99998739e-01;9.99997487e-01;9.99995116e-01;9.99990749e-01;9.99982912e-01;9.99969213e-01;9.99945889e-01;9.99907194e-01;9.99844650e-01;9.99746142e-01;9.99594962e-01;9.99368882e-01;9.99039468e-01;9.98571843e-01;9.97925203e-01;9.97054347e-01;9.95912454e-01;9.94455190e-01;9.92646053e-01;9.90462605e-01;9.87902960e-01;9.84991709e-01;9.81784299e-01;9.78368893e-01;9.74864934e-01;9.71417951e-01;9.68190633e-01;9.65350756e-01;9.63057101e-01;9.61444927e-01;9.60612843e-01;9.60612843e-01;9.61444927e-01;9.63057101e-01;9.65350756e-01;9.68190633e-01;9.71417951e-01;9.74864934e-01;9.78368893e-01;9.81784299e-01;9.84991709e-01;9.87902960e-01;9.90462605e-01;9.92646053e-01;9.94455190e-01;9.95912454e-01;9.97054347e-01;9.97925203e-01;9.98571843e-01;9.99039468e-01;9.99368882e-01;9.99594962e-01;9.99746142e-01;9.99844650e-01;9.99907194e-01;9.99945889e-01;9.99969213e-01;9.99982912e-01;9.99990749e-01;9.99995116e-01;9.99997487e-01;9.99998739e-01;9.99999384e-01;9.99999707e-01;9.99999864e-01;9.99999939e-01;9.99999973e-01;9.99999988e-01;9.99999995e-01;9.99999998e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999997e-01;9.99999994e-01;9.99999986e-01;9.99999970e-01;9.99999937e-01;9.99999869e-01;9.99999733e-01;9.99999471e-01;9.99998974e-01;9.99998051e-01;9.99996376e-01;9.99993404e-01;9.99988243e-01;9.99979476e-01;9.99964910e-01;9.99941226e-01;9.99903550e-01;9.99844905e-01;9.99755586e-01;9.99622481e-01;9.99428402e-01;9.99151544e-01;9.98765185e-01;9.98237800e-01;9.97533770e-01;9.96614822e-01;9.95442332e-01;9.93980491e-01;9.92200251e-01;9.90083794e-01;9.87629134e-01;9.84854351e-01;9.81800842e-01;9.78535026e-01;9.75147974e-01;9.71752631e-01;9.68478539e-01;9.65464253e-01;9.62847995e-01;9.60757332e-01;9.59298956e-01;9.58549671e-01;9.58549671e-01;9.59298956e-01;9.60757332e-01;9.62847995e-01;9.65464253e-01;9.68478539e-01;9.71752631e-01;9.75147974e-01;9.78535026e-01;9.81800842e-01;9.84854351e-01;9.87629134e-01;9.90083794e-01;9.92200251e-01;9.93980491e-01;9.95442332e-01;9.96614822e-01;9.97533770e-01;9.98237800e-01;9.98765185e-01;9.99151544e-01;9.99428402e-01;9.99622481e-01;9.99755586e-01;9.99844905e-01;9.99903550e-01;9.99941226e-01;9.99964910e-01;9.99979476e-01;9.99988243e-01;9.99993404e-01;9.99996376e-01;9.99998051e-01;9.99998974e-01;9.99999471e-01;9.99999733e-01;9.99999869e-01;9.99999937e-01;9.99999970e-01;9.99999986e-01;9.99999994e-01;9.99999997e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999999e-01;9.99999997e-01;9.99999993e-01;9.99999986e-01;9.99999972e-01;9.99999943e-01;9.99999887e-01;9.99999782e-01;9.99999585e-01;9.99999224e-01;9.99998577e-01;9.99997438e-01;9.99995469e-01;9.99992130e-01;9.99986576e-01;9.99977506e-01;9.99962973e-01;9.99940118e-01;9.99904841e-01;9.99851405e-01;9.99771965e-01;9.99656064e-01;9.99490122e-01;9.99256981e-01;9.98935586e-01;9.98500904e-01;9.97924195e-01;9.97173742e-01;9.96216136e-01;9.95018185e-01;9.93549414e-01;9.91785108e-01;9.89709697e-01;9.87320236e-01;9.84629640e-01;9.81669279e-01;9.78490564e-01;9.75165142e-01;9.71783467e-01;9.68451606e-01;9.65286315e-01;9.62408646e-01;9.59936488e-01;9.57976666e-01;9.56617313e-01;9.55921281e-01;9.55921281e-01;9.56617313e-01;9.57976666e-01;9.59936488e-01;9.62408646e-01;9.65286315e-01;9.68451606e-01;9.71783467e-01;9.75165142e-01;9.78490564e-01;9.81669279e-01;9.84629640e-01;9.87320236e-01;9.89709697e-01;9.91785108e-01;9.93549414e-01;9.95018185e-01;9.96216136e-01;9.97173742e-01;9.97924195e-01;9.98500904e-01;9.98935586e-01;9.99256981e-01;9.99490122e-01;9.99656064e-01;9.99771965e-01;9.99851405e-01;9.99904841e-01;9.99940118e-01;9.99962973e-01;9.99977506e-01;9.99986576e-01;9.99992130e-01;9.99995469e-01;9.99997438e-01;9.99998577e-01;9.99999224e-01;9.99999585e-01;9.99999782e-01;9.99999887e-01;9.99999943e-01;9.99999972e-01;9.99999986e-01;9.99999993e-01;9.99999997e-01;9.99999999e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999999e-01;9.99999997e-01;9.99999994e-01;9.99999988e-01;9.99999976e-01;9.99999953e-01;9.99999911e-01;9.99999833e-01;9.99999691e-01;9.99999440e-01;9.99998999e-01;9.99998241e-01;9.99996957e-01;9.99994819e-01;9.99991316e-01;9.99985672e-01;9.99976727e-01;9.99962779e-01;9.99941387e-01;9.99909115e-01;9.99861222e-01;9.99791311e-01;9.99690928e-01;9.99549163e-01;9.99352254e-01;9.99083280e-01;9.98721981e-01;9.98244794e-01;9.97625185e-01;9.96834344e-01;9.95842316e-01;9.94619587e-01;9.93139127e-01;9.91378810e-01;9.89324098e-01;9.86970792e-01;9.84327639e-01;9.81418499e-01;9.78283829e-01;9.74981197e-01;9.71584655e-01;9.68182811e-01;9.64875590e-01;9.61769773e-01;9.58973543e-01;9.56590369e-01;9.54712715e-01;9.53416077e-01;9.52753907e-01;9.52753907e-01;9.53416077e-01;9.54712715e-01;9.56590369e-01;9.58973543e-01;9.61769773e-01;9.64875590e-01;9.68182811e-01;9.71584655e-01;9.74981197e-01;9.78283829e-01;9.81418499e-01;9.84327639e-01;9.86970792e-01;9.89324098e-01;9.91378810e-01;9.93139127e-01;9.94619587e-01;9.95842316e-01;9.96834344e-01;9.97625185e-01;9.98244794e-01;9.98721981e-01;9.99083280e-01;9.99352254e-01;9.99549163e-01;9.99690928e-01;9.99791311e-01;9.99861222e-01;9.99909115e-01;9.99941387e-01;9.99962779e-01;9.99976727e-01;9.99985672e-01;9.99991316e-01;9.99994819e-01;9.99996957e-01;9.99998241e-01;9.99998999e-01;9.99999440e-01;9.99999691e-01;9.99999833e-01;9.99999911e-01;9.99999953e-01;9.99999976e-01;9.99999988e-01;9.99999994e-01;9.99999997e-01;9.99999999e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999999e-01;9.99999997e-01;9.99999995e-01;9.99999990e-01;9.99999981e-01;9.99999964e-01;9.99999933e-01;9.99999877e-01;9.99999779e-01;9.99999608e-01;9.99999313e-01;9.99998816e-01;9.99997987e-01;9.99996625e-01;9.99994421e-01;9.99990906e-01;9.99985383e-01;9.99976828e-01;9.99963773e-01;9.99944138e-01;9.99915039e-01;9.99872541e-01;9.99811381e-01;9.99724652e-01;9.99603469e-01;9.99436637e-01;9.99210354e-01;9.98907997e-01;9.98510027e-01;9.97994089e-01;9.97335362e-01;9.96507194e-01;9.95482099e-01;9.94233100e-01;9.92735425e-01;9.90968498e-01;9.88918135e-01;9.86578807e-01;9.83955810e-01;9.81067143e-01;9.77944894e-01;9.74635951e-01;9.71201858e-01;9.67717715e-01;9.64270048e-01;9.60953676e-01;9.57867688e-01;9.55110709e-01;9.52775770e-01;9.50945109e-01;9.49685332e-01;9.49043332e-01;9.49043332e-01;9.49685332e-01;9.50945109e-01;9.52775770e-01;9.55110709e-01;9.57867688e-01;9.60953676e-01;9.64270048e-01;9.67717715e-01;9.71201858e-01;9.74635951e-01;9.77944894e-01;9.81067143e-01;9.83955810e-01;9.86578807e-01;9.88918135e-01;9.90968498e-01;9.92735425e-01;9.94233100e-01;9.95482099e-01;9.96507194e-01;9.97335362e-01;9.97994089e-01;9.98510027e-01;9.98907997e-01;9.99210354e-01;9.99436637e-01;9.99603469e-01;9.99724652e-01;9.99811381e-01;9.99872541e-01;9.99915039e-01;9.99944138e-01;9.99963773e-01;9.99976828e-01;9.99985383e-01;9.99990906e-01;9.99994421e-01;9.99996625e-01;9.99997987e-01;9.99998816e-01;9.99999313e-01;9.99999608e-01;9.99999779e-01;9.99999877e-01;9.99999933e-01;9.99999964e-01;9.99999981e-01;9.99999990e-01;9.99999995e-01;9.99999997e-01;9.99999999e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
