A one-dimensional setting of the electrical breakdown problem
eps_0 = 2.00000000e-01
delta = 4.00000000e-02
l = 1.00000000e+00
Gamma = 1.00000000e+00
m = 5.00000000e-01
Phi_gradient = 4.80000000e+00
x_grid = 566
x_skip = 5
t_grid = 9051
t_skip = 181
width = 5.00000000e+00
duration = 1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99986138e-01;9.95796372e-01;9.85362420e-01;9.71817115e-01;9.59227482e-01;9.51373605e-01;9.50613638e-01;9.57175765e-01;9.69089682e-01;9.82778194e-01;9.94131275e-01;9.99740122e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999992e-01;9.99999927e-01;9.99999479e-01;9.99996898e-01;9.99984538e-01;9.99935127e-01;9.99769399e-01;9.99300790e-01;9.98178553e-01;9.95892344e-01;9.91916339e-01;9.86003615e-01;9.78505709e-01;9.70503007e-01;9.63597852e-01;9.59413081e-01;9.59011518e-01;9.62497806e-01;9.68978723e-01;9.76899277e-01;9.84606541e-01;9.90887783e-01;9.95246464e-01;9.97832527e-01;9.99143079e-01;9.99708500e-01;9.99915299e-01;9.99979120e-01;9.99995662e-01;9.99999245e-01;9.99999891e-01;9.99999987e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999995e-01;9.99999976e-01;9.99999892e-01;9.99999554e-01;9.99998321e-01;9.99994229e-01;9.99981842e-01;9.99947625e-01;9.99861322e-01;9.99662396e-01;9.99243146e-01;9.98434922e-01;9.97009672e-01;9.94711673e-01;9.91328321e-01;9.86791931e-01;9.81281691e-01;9.75278889e-01;9.69532610e-01;9.64921702e-01;9.62242353e-01;9.61989132e-01;9.64209897e-01;9.68491451e-01;9.74081658e-01;9.80099843e-01;9.85756832e-01;9.90511663e-01;9.94126787e-01;9.96627896e-01;9.98207349e-01;9.99119154e-01;9.99600635e-01;9.99833204e-01;9.99935931e-01;9.99977401e-01;9.99992691e-01;9.99997836e-01;9.99999414e-01;9.99999855e-01;9.99999967e-01;9.99999993e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999997e-01;9.99999987e-01;9.99999952e-01;9.99999839e-01;9.99999487e-01;9.99998462e-01;9.99995658e-01;9.99988453e-01;9.99971056e-01;9.99931576e-01;9.99847356e-01;9.99678456e-01;9.99360036e-01;9.98795805e-01;9.97856411e-01;9.96387813e-01;9.94234100e-01;9.91275942e-01;9.87479864e-01;9.82946484e-01;9.77940797e-01;9.72887888e-01;9.68324644e-01;9.64811108e-01;9.62819978e-01;9.62633547e-01;9.64278752e-01;9.67520857e-01;9.71917808e-01;9.76917964e-01;9.81971662e-01;9.86626154e-01;9.90582741e-01;9.93709461e-01;9.96016517e-01;9.97610189e-01;9.98642610e-01;9.99270534e-01;9.99629331e-01;9.99822018e-01;9.99919294e-01;9.99965461e-01;9.99986058e-01;9.99994695e-01;9.99998098e-01;9.99999358e-01;9.99999796e-01;9.99999939e-01;9.99999983e-01;9.99999995e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999995e-01;9.99999985e-01;9.99999954e-01;9.99999865e-01;9.99999623e-01;9.99998995e-01;9.99997443e-01;9.99993780e-01;9.99985535e-01;9.99967837e-01;9.99931594e-01;9.99860800e-01;9.99728901e-01;9.99494538e-01;9.99097495e-01;9.98456370e-01;9.97470114e-01;9.96025737e-01;9.94013856e-01;9.91352080e-01;9.88013552e-01;9.84055091e-01;9.79637173e-01;9.75027742e-01;9.70584060e-01;9.66711605e-01;9.63805233e-01;9.62183778e-01;9.62032847e-01;9.63369987e-01;9.66041339e-01;9.69750669e-01;9.74113133e-01;9.78720266e-01;9.83201192e-01;9.87267894e-01;9.90738063e-01;9.93535340e-01;9.95671957e-01;9.97221568e-01;9.98290247e-01;9.98991775e-01;9.99430439e-01;9.99691859e-01;9.99840391e-01;9.99920871e-01;9.99962464e-01;9.99982968e-01;9.99992609e-01;9.99996934e-01;9.99998785e-01;9.99999540e-01;9.99999833e-01;9.99999942e-01;9.99999981e-01;9.99999994e-01;9.99999998e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999996e-01;9.99999988e-01;9.99999966e-01;9.99999910e-01;9.99999769e-01;9.99999429e-01;9.99998638e-01;9.99996865e-01;9.99993045e-01;9.99985122e-01;9.99969300e-01;9.99938892e-01;9.99882646e-01;9.99782520e-01;9.99611021e-01;9.99328428e-01;9.98880593e-01;9.98198297e-01;9.97199402e-01;9.95795012e-01;9.93900385e-01;9.91450430e-01;9.88418268e-01;9.84833887e-01;9.80798771e-01;9.76492069e-01;9.72164587e-01;9.68118877e-01;9.64676540e-01;9.62137056e-01;9.60735175e-01;9.60605198e-01;9.61759742e-01;9.64087713e-01;9.67371961e-01;9.71322642e-01;9.75619125e-01;9.79952079e-01;9.84058310e-01;9.87743422e-01;9.90890544e-01;9.93456353e-01;9.95457783e-01;9.96953821e-01;9.98026648e-01;9.98765359e-01;9.99254082e-01;9.99564904e-01;9.99755008e-01;9.99866857e-01;9.99930174e-01;9.99964667e-01;9.99982753e-01;9.99991879e-01;9.99996313e-01;9.99998386e-01;9.99999319e-01;9.99999723e-01;9.99999891e-01;9.99999959e-01;9.99999985e-01;9.99999995e-01;9.99999998e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999997e-01;9.99999992e-01;9.99999979e-01;9.99999947e-01;9.99999872e-01;9.99999698e-01;9.99999309e-01;9.99998470e-01;9.99996714e-01;9.99993156e-01;9.99986170e-01;9.99972891e-01;9.99948447e-01;9.99904875e-01;9.99829674e-01;9.99704030e-01;9.99500841e-01;9.99182860e-01;9.98701442e-01;9.97996564e-01;9.96998887e-01;9.95634562e-01;9.93833187e-01;9.91538763e-01;9.88722757e-01;9.85397525e-01;9.81627712e-01;9.77536905e-01;9.73307059e-01;9.69169077e-01;9.65384318e-01;9.62218552e-01;9.59911667e-01;9.58647784e-01;9.58530933e-01;9.59570843e-01;9.61681592e-01;9.64693399e-01;9.68375241e-01;9.72464042e-01;9.76695284e-01;9.80830216e-01;9.84676043e-01;9.88097193e-01;9.91017564e-01;9.93415141e-01;9.95311329e-01;9.96757717e-01;9.97822792e-01;9.98580449e-01;9.99101414e-01;9.99447816e-01;9.99670631e-01;9.99809316e-01;9.99892864e-01;9.99941587e-01;9.99969098e-01;9.99984139e-01;9.99992103e-01;9.99996186e-01;9.99998213e-01;9.99999188e-01;9.99999642e-01;9.99999847e-01;9.99999937e-01;9.99999975e-01;9.99999990e-01;9.99999996e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999998e-01;9.99999995e-01;9.99999988e-01;9.99999971e-01;9.99999932e-01;9.99999846e-01;9.99999659e-01;9.99999266e-01;9.99998461e-01;9.99996856e-01;9.99993745e-01;9.99987876e-01;9.99977111e-01;9.99957900e-01;9.99924562e-01;9.99868295e-01;9.99775954e-01;9.99628616e-01;9.99400093e-01;9.99055619e-01;9.98551104e-01;9.97833390e-01;9.96842046e-01;9.95513135e-01;9.93785215e-01;9.91607475e-01;9.88949449e-01;9.85811243e-01;9.82232768e-01;9.78300207e-01;9.74148016e-01;9.69955073e-01;9.65934367e-01;9.62316557e-01;9.59328839e-01;9.57171651e-01;9.55996452e-01;9.55888031e-01;9.56854288e-01;9.58825277e-01;9.61661658e-01;9.65171108e-01;9.69129903e-01;9.73306276e-01;9.77482209e-01;9.81470969e-01;9.85128706e-01;9.88359570e-01;9.91114793e-01;9.93386986e-01;9.95201309e-01;9.96605317e-01;9.97659039e-01;9.98426464e-01;9.98969096e-01;9.99341748e-01;9.99590389e-01;9.99751610e-01;9.99853226e-01;9.99915492e-01;9.99952593e-01;9.99974090e-01;9.99986204e-01;9.99992845e-01;9.99996385e-01;9.99998221e-01;9.99999147e-01;9.99999602e-01;9.99999819e-01;9.99999920e-01;9.99999966e-01;9.99999986e-01;9.99999994e-01;9.99999998e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999997e-01;9.99999993e-01;9.99999985e-01;9.99999965e-01;9.99999923e-01;9.99999835e-01;9.99999652e-01;9.99999282e-01;9.99998556e-01;9.99997160e-01;9.99994543e-01;9.99989755e-01;9.99981203e-01;9.99966299e-01;9.99940951e-01;9.99898886e-01;9.99830777e-01;9.99723193e-01;9.99557434e-01;9.99308362e-01;9.98943439e-01;9.98422235e-01;9.97696758e-01;9.96712959e-01;9.95413717e-01;9.93743498e-01;9.91654622e-01;9.89114793e-01;9.86115201e-01;9.82678200e-01;9.78863372e-01;9.74770729e-01;9.70539978e-01;9.66345132e-01;9.62384297e-01;9.58865174e-01;9.55987523e-01;9.53924550e-01;9.52805587e-01;9.52702523e-01;9.53622040e-01;9.55504884e-01;9.58232285e-01;9.61638512e-01;9.65527631e-01;9.69692063e-01;9.73930502e-01;9.78063150e-01;9.81942851e-01;9.85461453e-01;9.88551434e-01;9.91183404e-01;9.93360521e-01;9.95111035e-01;9.96480181e-01;9.97522472e-01;9.98295138e-01;9.98853133e-01;9.99245825e-01;9.99515214e-01;9.99695399e-01;9.99812933e-01;9.99887711e-01;9.99934124e-01;9.99962229e-01;9.99978836e-01;9.99988411e-01;9.99993799e-01;9.99996758e-01;9.99998344e-01;9.99999173e-01;9.99999597e-01;9.99999808e-01;9.99999911e-01;9.99999959e-01;9.99999982e-01;9.99999992e-01;9.99999997e-01;9.99999999e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999998e-01;9.99999997e-01;9.99999992e-01;9.99999983e-01;9.99999963e-01;9.99999921e-01;9.99999836e-01;9.99999666e-01;9.99999336e-01;9.99998706e-01;9.99997531e-01;9.99995385e-01;9.99991549e-01;9.99984843e-01;9.99973368e-01;9.99954157e-01;9.99922693e-01;9.99872281e-01;9.99793271e-01;9.99672160e-01;9.99490610e-01;9.99224512e-01;9.98843230e-01;9.98309262e-01;9.97578553e-01;9.96601741e-01;9.95326558e-01;9.93701523e-01;9.91680917e-01;9.89230794e-01;9.86335591e-01;9.83004643e-01;9.79277761e-01;9.75228978e-01;9.70967583e-01;9.66635792e-01;9.62402685e-01;9.58454460e-01;9.54981588e-01;9.52163923e-01;9.50155330e-01;9.49069638e-01;9.48969769e-01;9.49861558e-01;9.51693179e-01;9.54360245e-01;9.57715851e-01;9.61584126e-01;9.65775491e-01;9.70101781e-01;9.74389604e-01;9.78490763e-01;9.82289080e-01;9.85703456e-01;9.88687459e-01;9.91226059e-01;9.93330345e-01;9.95031121e-01;9.96372261e-01;9.97404529e-01;9.98180374e-01;9.98749971e-01;9.99158571e-01;9.99445037e-01;9.99641367e-01;9.99772928e-01;9.99859137e-01;9.99914387e-01;9.99949023e-01;9.99970263e-01;9.99983006e-01;9.99990486e-01;9.99994783e-01;9.99997197e-01;9.99998525e-01;9.99999240e-01;9.99999616e-01;9.99999810e-01;9.99999908e-01;9.99999956e-01;9.99999980e-01;9.99999991e-01;9.99999996e-01;9.99999998e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
