A one-dimensional setting of the electrical breakdown problem
eps_0 = 2.00000000e-01
delta = 4.00000000e-02
l = 1.00000000e+00
Gamma = 1.00000000e+00
m = 5.00000000e-01
Phi_gradient = 4.80000000e+00
x_grid = 100
x_skip = 1
t_grid = 400
t_skip = 8
width = 5.00000000e+00
duration = 1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.95225425e-01;9.82725425e-01;9.67274575e-01;9.54774575e-01;9.50000000e-01;9.54774575e-01;9.67274575e-01;9.82725425e-01;9.95225425e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999927e-01;9.99998531e-01;9.99985837e-01;9.99912902e-01;9.99615642e-01;9.98700986e-01;9.96494378e-01;9.92220106e-01;9.85484060e-01;9.76834709e-01;9.67960001e-01;9.61226143e-01;9.58707065e-01;9.61226143e-01;9.67960001e-01;9.76834709e-01;9.85484060e-01;9.92220106e-01;9.96494378e-01;9.98700986e-01;9.99615642e-01;9.99912902e-01;9.99985837e-01;9.99998531e-01;9.99999927e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999992e-01;9.99999929e-01;9.99999530e-01;9.99997499e-01;9.99988902e-01;9.99958136e-01;9.99863657e-01;9.99611913e-01;9.99024984e-01;9.97820247e-01;9.95634154e-01;9.92120496e-01;9.87122391e-01;9.80862300e-01;9.74048707e-01;9.67803252e-01;9.63383424e-01;9.61783939e-01;9.63383424e-01;9.67803252e-01;9.74048707e-01;9.80862300e-01;9.87122391e-01;9.92120496e-01;9.95634154e-01;9.97820247e-01;9.99024984e-01;9.99611913e-01;9.99863657e-01;9.99958136e-01;9.99988902e-01;9.99997499e-01;9.99999530e-01;9.99999929e-01;9.99999992e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999997e-01;9.99999984e-01;9.99999921e-01;9.99999650e-01;9.99998617e-01;9.99995100e-01;9.99984318e-01;9.99954412e-01;9.99879036e-01;9.99705805e-01;9.99341776e-01;9.98640866e-01;9.97402694e-01;9.95394921e-01;9.92407855e-01;9.88338340e-01;9.83282173e-01;9.77598641e-01;9.71908046e-01;9.66999779e-01;9.63661509e-01;9.62476890e-01;9.63661509e-01;9.66999779e-01;9.71908046e-01;9.77598641e-01;9.83282173e-01;9.88338340e-01;9.92407855e-01;9.95394921e-01;9.97402694e-01;9.98640866e-01;9.99341776e-01;9.99705805e-01;9.99879036e-01;9.99954412e-01;9.99984318e-01;9.99995100e-01;9.99998617e-01;9.99999650e-01;9.99999921e-01;9.99999984e-01;9.99999997e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999997e-01;9.99999988e-01;9.99999953e-01;9.99999826e-01;9.99999405e-01;9.99998116e-01;9.99994460e-01;9.99984843e-01;9.99961308e-01;9.99907635e-01;9.99793380e-01;9.99566076e-01;9.99143063e-01;9.98406224e-01;9.97204662e-01;9.95370835e-01;9.92753662e-01;9.89266827e-01;9.84943010e-01;9.79977737e-01;9.74743810e-01;9.69761592e-01;9.65622026e-01;9.62875254e-01;9.61912433e-01;9.62875254e-01;9.65622026e-01;9.69761592e-01;9.74743810e-01;9.79977737e-01;9.84943010e-01;9.89266827e-01;9.92753662e-01;9.95370835e-01;9.97204662e-01;9.98406224e-01;9.99143063e-01;9.99566076e-01;9.99793380e-01;9.99907635e-01;9.99961308e-01;9.99984843e-01;9.99994460e-01;9.99998116e-01;9.99999405e-01;9.99999826e-01;9.99999953e-01;9.99999988e-01;9.99999997e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999998e-01;9.99999994e-01;9.99999978e-01;9.99999926e-01;9.99999768e-01;9.99999312e-01;9.99998081e-01;9.99994945e-01;9.99987409e-01;9.99970303e-01;9.99933590e-01;9.99859021e-01;9.99715590e-01;9.99454191e-01;9.99002677e-01;9.98263430e-01;9.97116347e-01;9.95430207e-01;9.93084225e-01;9.89998912e-01;9.86171652e-01;9.81708642e-01;9.76842809e-01;9.71928156e-01;9.67405390e-01;9.63740933e-01;9.61349646e-01;9.60518375e-01;9.61349646e-01;9.63740933e-01;9.67405390e-01;9.71928156e-01;9.76842809e-01;9.81708642e-01;9.86171652e-01;9.89998912e-01;9.93084225e-01;9.95430207e-01;9.97116347e-01;9.98263430e-01;9.99002677e-01;9.99454191e-01;9.99715590e-01;9.99859021e-01;9.99933590e-01;9.99970303e-01;9.99987409e-01;9.99994945e-01;9.99998081e-01;9.99999312e-01;9.99999768e-01;9.99999926e-01;9.99999978e-01;9.99999994e-01;9.99999998e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999997e-01;9.99999991e-01;9.99999971e-01;9.99999913e-01;9.99999755e-01;9.99999340e-01;9.99998306e-01;9.99995852e-01;9.99990299e-01;9.99978312e-01;9.99953616e-01;9.99905019e-01;9.99813646e-01;9.99649449e-01;9.99367386e-01;9.98904162e-01;9.98176954e-01;9.97085910e-01;9.95522242e-01;9.93383028e-01;9.90592355e-01;9.87126370e-01;9.83037607e-01;9.78472430e-01;9.73675318e-01;9.68975312e-01;9.64753356e-01;9.61393734e-01;9.59227466e-01;9.58478904e-01;9.59227466e-01;9.61393734e-01;9.64753356e-01;9.68975312e-01;9.73675318e-01;9.78472430e-01;9.83037607e-01;9.87126370e-01;9.90592355e-01;9.93383028e-01;9.95522242e-01;9.97085910e-01;9.98176954e-01;9.98904162e-01;9.99367386e-01;9.99649449e-01;9.99813646e-01;9.99905019e-01;9.99953616e-01;9.99978312e-01;9.99990299e-01;9.99995852e-01;9.99998306e-01;9.99999340e-01;9.99999755e-01;9.99999913e-01;9.99999971e-01;9.99999991e-01;9.99999997e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999996e-01;9.99999989e-01;9.99999968e-01;9.99999914e-01;9.99999773e-01;9.99999430e-01;9.99998621e-01;9.99996794e-01;9.99992836e-01;9.99984594e-01;9.99968103e-01;9.99936382e-01;9.99877709e-01;9.99773327e-01;9.99594699e-01;9.99300639e-01;9.98834979e-01;9.98125763e-01;9.97087159e-01;9.95625316e-01;9.93648931e-01;9.91084458e-01;9.87894613e-01;9.84097459e-01;9.79782242e-01;9.75117710e-01;9.70349206e-01;9.65782349e-01;9.61753574e-01;9.58590707e-01;9.56569544e-01;9.55874248e-01;9.56569544e-01;9.58590707e-01;9.61753574e-01;9.65782349e-01;9.70349206e-01;9.75117710e-01;9.79782242e-01;9.84097459e-01;9.87894613e-01;9.91084458e-01;9.93648931e-01;9.95625316e-01;9.97087159e-01;9.98125763e-01;9.98834979e-01;9.99300639e-01;9.99594699e-01;9.99773327e-01;9.99877709e-01;9.99936382e-01;9.99968103e-01;9.99984594e-01;9.99992836e-01;9.99996794e-01;9.99998621e-01;9.99999430e-01;9.99999773e-01;9.99999914e-01;9.99999968e-01;9.99999989e-01;9.99999996e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999996e-01;9.99999989e-01;9.99999970e-01;9.99999922e-01;9.99999807e-01;9.99999538e-01;9.99998932e-01;9.99997613e-01;9.99994845e-01;9.99989237e-01;9.99978259e-01;9.99957502e-01;9.99919577e-01;9.99852614e-01;9.99738338e-01;9.99549848e-01;9.99249357e-01;9.98786398e-01;9.98097197e-01;9.97106073e-01;9.95729719e-01;9.93884978e-01;9.91500162e-01;9.88529188e-01;9.84966881e-01;9.80862955e-01;9.76331748e-01;9.71554832e-01;9.66774310e-01;9.62275920e-01;9.58362801e-01;9.55322744e-01;9.53393542e-01;9.52732185e-01;9.53393542e-01;9.55322744e-01;9.58362801e-01;9.62275920e-01;9.66774310e-01;9.71554832e-01;9.76331748e-01;9.80862955e-01;9.84966881e-01;9.88529188e-01;9.91500162e-01;9.93884978e-01;9.95729719e-01;9.97106073e-01;9.98097197e-01;9.98786398e-01;9.99249357e-01;9.99549848e-01;9.99738338e-01;9.99852614e-01;9.99919577e-01;9.99957502e-01;9.99978259e-01;9.99989237e-01;9.99994845e-01;9.99997613e-01;9.99998932e-01;9.99999538e-01;9.99999807e-01;9.99999922e-01;9.99999970e-01;9.99999989e-01;9.99999996e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999999e-01;9.99999996e-01;9.99999989e-01;9.99999973e-01;9.99999935e-01;9.99999844e-01;9.99999642e-01;9.99999199e-01;9.99998265e-01;9.99996353e-01;9.99992559e-01;9.99985260e-01;9.99971640e-01;9.99946993e-01;9.99903726e-01;9.99830045e-01;9.99708316e-01;9.99513216e-01;9.99209881e-01;9.98752436e-01;9.98083426e-01;9.97134792e-01;9.95831034e-01;9.94095039e-01;9.91856730e-01;9.89064123e-01;9.85695793e-01;9.81773084e-01;9.77370024e-01;9.72618747e-01;9.67708502e-01;9.62877007e-01;9.58393891e-01;9.54537280e-01;9.51565959e-01;9.49690783e-01;9.49049720e-01;9.49690783e-01;9.51565959e-01;9.54537280e-01;9.58393891e-01;9.62877007e-01;9.67708502e-01;9.72618747e-01;9.77370024e-01;9.81773084e-01;9.85695793e-01;9.89064123e-01;9.91856730e-01;9.94095039e-01;9.95831034e-01;9.97134792e-01;9.98083426e-01;9.98752436e-01;9.99209881e-01;9.99513216e-01;9.99708316e-01;9.99830045e-01;9.99903726e-01;9.99946993e-01;9.99971640e-01;9.99985260e-01;9.99992559e-01;9.99996353e-01;9.99998265e-01;9.99999199e-01;9.99999642e-01;9.99999844e-01;9.99999935e-01;9.99999973e-01;9.99999989e-01;9.99999996e-01;9.99999999e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
