A one-dimensional setting of the electrical breakdown problem
eps_0 = 2.00000000e-01
delta = 4.00000000e-02
l = 1.00000000e+00
Gamma = 1.00000000e+00
m = 5.00000000e-01
Phi_gradient = 4.80000000e+00
x_grid = 35
x_skip = 1
t_grid = 566
t_skip = 11
width = 5.00000000e+00
duration = 1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.97524222e-01;9.59412755e-01;9.59412755e-01;9.97524222e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999994e-01;9.99999781e-01;9.99994333e-01;9.99896238e-01;9.98715731e-01;9.90204449e-01;9.62367462e-01;9.62367462e-01;9.90204449e-01;9.98715731e-01;9.99896238e-01;9.99994333e-01;9.99999781e-01;9.99999994e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999978e-01;9.99999616e-01;9.99994483e-01;9.99937180e-01;9.99451489e-01;9.96509935e-01;9.85121344e-01;9.63606345e-01;9.63606345e-01;9.85121344e-01;9.96509935e-01;9.99451489e-01;9.99937180e-01;9.99994483e-01;9.99999616e-01;9.99999978e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999998e-01;9.99999976e-01;9.99999687e-01;9.99996555e-01;9.99968471e-01;9.99765230e-01;9.98622544e-01;9.93920537e-01;9.81200019e-01;9.63697570e-01;9.63697570e-01;9.81200019e-01;9.93920537e-01;9.98622544e-01;9.99765230e-01;9.99968471e-01;9.99996555e-01;9.99999687e-01;9.99999976e-01;9.99999998e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999998e-01;9.99999982e-01;9.99999801e-01;9.99998136e-01;9.99985012e-01;9.99898283e-01;9.99430143e-01;9.97441096e-01;9.91160361e-01;9.77843237e-01;9.62960104e-01;9.62960104e-01;9.77843237e-01;9.91160361e-01;9.97441096e-01;9.99430143e-01;9.99898283e-01;9.99985012e-01;9.99998136e-01;9.99999801e-01;9.99999982e-01;9.99999998e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999988e-01;9.99999888e-01;9.99999054e-01;9.99993022e-01;9.99955445e-01;9.99757737e-01;9.98900816e-01;9.95948548e-01;9.88293260e-01;9.74707380e-01;9.61572648e-01;9.61572648e-01;9.74707380e-01;9.88293260e-01;9.95948548e-01;9.98900816e-01;9.99757737e-01;9.99955445e-01;9.99993022e-01;9.99999054e-01;9.99999888e-01;9.99999988e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999993e-01;9.99999940e-01;9.99999536e-01;9.99996780e-01;9.99980310e-01;9.99895156e-01;9.99521013e-01;9.98157593e-01;9.94174933e-01;9.85316334e-01;9.71584443e-01;9.59632469e-01;9.59632469e-01;9.71584443e-01;9.85316334e-01;9.94174933e-01;9.98157593e-01;9.99521013e-01;9.99895156e-01;9.99980310e-01;9.99996780e-01;9.99999536e-01;9.99999940e-01;9.99999993e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999996e-01;9.99999970e-01;9.99999776e-01;9.99998520e-01;9.99991237e-01;9.99954053e-01;9.99789051e-01;9.99163717e-01;9.97186257e-01;9.92134598e-01;9.82197664e-01;9.68339318e-01;9.57187550e-01;9.57187550e-01;9.68339318e-01;9.82197664e-01;9.92134598e-01;9.97186257e-01;9.99163717e-01;9.99789051e-01;9.99954053e-01;9.99991237e-01;9.99998520e-01;9.99999776e-01;9.99999970e-01;9.99999996e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999998e-01;9.99999985e-01;9.99999894e-01;9.99999320e-01;9.99996077e-01;9.99979675e-01;9.99906340e-01;9.99620245e-01;9.98662704e-01;9.95973655e-01;9.89827457e-01;9.78893058e-01;9.64875885e-01;9.54254360e-01;9.54254360e-01;9.64875885e-01;9.78893058e-01;9.89827457e-01;9.95973655e-01;9.98662704e-01;9.99620245e-01;9.99906340e-01;9.99979675e-01;9.99996077e-01;9.99999320e-01;9.99999894e-01;9.99999985e-01;9.99999998e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999993e-01;9.99999950e-01;9.99999688e-01;9.99998235e-01;9.99990944e-01;9.99958148e-01;9.99827327e-01;9.99370388e-01;9.97995345e-01;9.94504937e-01;9.87241477e-01;9.75352961e-01;9.61118202e-01;9.50827711e-01;9.50827711e-01;9.61118202e-01;9.75352961e-01;9.87241477e-01;9.94504937e-01;9.97995345e-01;9.99370388e-01;9.99827327e-01;9.99958148e-01;9.99990944e-01;9.99998235e-01;9.99999688e-01;9.99999950e-01;9.99999993e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00
