A one-dimensional setting of the electrical breakdown problem
eps_0 = 2.00000000e-01
delta = 4.00000000e-02
l = 1.00000000e+00
Gamma = 1.00000000e+00
m = 5.00000000e-01
Phi_gradient = 4.80000000e+00
x_grid = 1131
x_skip = 11
t_grid = 25600
t_skip = 512
width = 5.00000000e+00
duration = 1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.97541411e-01;9.87258676e-01;9.72538774e-01;9.58709740e-01;9.50777153e-01;9.51612304e-01;9.60912901e-01;9.75312485e-01;9.89598961e-01;9.98601176e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999995e-01;9.99999944e-01;9.99999512e-01;9.99996582e-01;9.99980562e-01;9.99909754e-01;9.99655489e-01;9.98909730e-01;9.97114045e-01;9.93547237e-01;9.87684964e-01;9.79724199e-01;9.70910257e-01;9.63318919e-01;9.59096163e-01;9.59537701e-01;9.64505167e-01;9.72489107e-01;9.81285639e-01;9.88925950e-01;9.94357666e-01;9.97550903e-01;9.99103697e-01;9.99726101e-01;9.99930718e-01;9.99985610e-01;9.99997563e-01;9.99999666e-01;9.99999963e-01;9.99999997e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999991e-01;9.99999951e-01;9.99999758e-01;9.99998926e-01;9.99995717e-01;9.99984641e-01;9.99950382e-01;9.99855342e-01;9.99618724e-01;9.99089722e-01;9.98027458e-01;9.96111957e-01;9.93013588e-01;9.88529437e-01;9.82753641e-01;9.76203673e-01;9.69812676e-01;9.64740387e-01;9.62042282e-01;9.62320885e-01;9.65512761e-01;9.70911348e-01;9.77414705e-01;9.83882593e-01;9.89448735e-01;9.93677027e-01;9.96539285e-01;9.98273961e-01;9.99217264e-01;9.99677943e-01;9.99880013e-01;9.99959600e-01;9.99987728e-01;9.99996643e-01;9.99999174e-01;9.99999818e-01;9.99999964e-01;9.99999994e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999997e-01;9.99999986e-01;9.99999942e-01;9.99999782e-01;9.99999240e-01;9.99997529e-01;9.99992526e-01;9.99978950e-01;9.99944755e-01;9.99864806e-01;9.99691272e-01;9.99341633e-01;9.98687911e-01;9.97554290e-01;9.95732784e-01;9.93025012e-01;9.89310283e-01;9.84626447e-01;9.79236034e-01;9.73643855e-01;9.68541107e-01;9.64674725e-01;9.62672313e-01;9.62877493e-01;9.65254503e-01;9.69398282e-01;9.74646143e-01;9.80248936e-01;9.85541606e-01;9.90061578e-01;9.93590336e-01;9.96124653e-01;9.97805281e-01;9.98836730e-01;9.99423411e-01;9.99732949e-01;9.99884512e-01;9.99953402e-01;9.99982470e-01;9.99993855e-01;9.99997995e-01;9.99999391e-01;9.99999828e-01;9.99999955e-01;9.99999989e-01;9.99999998e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999997e-01;9.99999989e-01;9.99999961e-01;9.99999871e-01;9.99999603e-01;9.99998842e-01;9.99996802e-01;9.99991631e-01;9.99979254e-01;9.99951261e-01;9.99891446e-01;9.99770712e-01;9.99540543e-01;9.99126242e-01;9.98422466e-01;9.97294983e-01;9.95593105e-01;9.93175999e-01;9.89952306e-01;9.85926776e-01;9.81241627e-01;9.76196976e-01;9.71236397e-01;9.66891618e-01;9.63692724e-01;9.62063450e-01;9.62229590e-01;9.64167824e-01;9.67611073e-01;9.72108670e-01;9.77122535e-01;9.82131111e-01;9.86713985e-01;9.90599840e-01;9.93673795e-01;9.95952007e-01;9.97538226e-01;9.98577681e-01;9.99219595e-01;9.99593505e-01;9.99799070e-01;9.99905782e-01;9.99958105e-01;9.99982340e-01;9.99992946e-01;9.99997330e-01;9.99999043e-01;9.99999675e-01;9.99999896e-01;9.99999968e-01;9.99999991e-01;9.99999998e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999998e-01;9.99999993e-01;9.99999979e-01;9.99999936e-01;9.99999817e-01;9.99999502e-01;9.99998699e-01;9.99996748e-01;9.99992223e-01;9.99982198e-01;9.99960983e-01;9.99918107e-01;9.99835368e-01;9.99682940e-01;9.99414921e-01;9.98965292e-01;9.98245972e-01;9.97149253e-01;9.95557000e-01;9.93358191e-01;9.90474425e-01;9.86890158e-01;9.82681411e-01;9.78034589e-01;9.73247154e-01;9.68704616e-01;9.64833702e-01;9.62038222e-01;9.60630373e-01;9.60773465e-01;9.62450721e-01;9.65468514e-01;9.69493179e-01;9.74111558e-01;9.78900016e-01;9.83486219e-01;9.87591921e-01;9.91051463e-01;9.93807281e-01;9.95888630e-01;9.97382022e-01;9.98401458e-01;9.99064230e-01;9.99474934e-01;9.99717659e-01;9.99854534e-01;9.99928204e-01;9.99966061e-01;9.99984637e-01;9.99993342e-01;9.99997238e-01;9.99998903e-01;9.99999583e-01;9.99999849e-01;9.99999947e-01;9.99999982e-01;9.99999994e-01;9.99999998e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999996e-01;9.99999990e-01;9.99999971e-01;9.99999921e-01;9.99999794e-01;9.99999483e-01;9.99998748e-01;9.99997079e-01;9.99993432e-01;9.99985766e-01;9.99970258e-01;9.99940081e-01;9.99883598e-01;9.99781924e-01;9.99605944e-01;9.99313155e-01;9.98845061e-01;9.98126261e-01;9.97066669e-01;9.95568296e-01;9.93537518e-01;9.90902682e-01;9.87635266e-01;9.83771114e-01;9.79426889e-01;9.74806520e-01;9.70193364e-01;9.65926178e-01;9.62360493e-01;9.59820777e-01;9.58552015e-01;9.58680669e-01;9.60193796e-01;9.62941204e-01;9.66660148e-01;9.71016794e-01;9.75655275e-01;9.80244410e-01;9.84513973e-01;9.88275779e-01;9.91428699e-01;9.93950026e-01;9.95877762e-01;9.97289059e-01;9.98279501e-01;9.98946388e-01;9.99377488e-01;9.99645182e-01;9.99804923e-01;9.99896558e-01;9.99947102e-01;9.99973916e-01;9.99987599e-01;9.99994316e-01;9.99997489e-01;9.99998931e-01;9.99999561e-01;9.99999827e-01;9.99999934e-01;9.99999976e-01;9.99999991e-01;9.99999997e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999998e-01;9.99999995e-01;9.99999987e-01;9.99999967e-01;9.99999917e-01;9.99999797e-01;9.99999520e-01;9.99998899e-01;9.99997558e-01;9.99994751e-01;9.99989069e-01;9.99977944e-01;9.99956882e-01;9.99918317e-01;9.99850046e-01;9.99733207e-01;9.99539946e-01;9.99231062e-01;9.98754191e-01;9.98043319e-01;9.97020591e-01;9.95601362e-01;9.93703114e-01;9.91258213e-01;9.88229517e-01;9.84626762e-01;9.80520730e-01;9.76051764e-01;9.71429421e-01;9.66921119e-01;9.62829468e-01;9.59460210e-01;9.57085081e-01;9.55905684e-01;9.56025068e-01;9.57432713e-01;9.60006084e-01;9.63528400e-01;9.67718935e-01;9.72269830e-01;9.76882720e-01;9.81299340e-01;9.85322214e-01;9.88823915e-01;9.91745606e-01;9.94087238e-01;9.95892730e-01;9.97233519e-01;9.98193353e-01;9.98856190e-01;9.99298000e-01;9.99582369e-01;9.99759181e-01;9.99865413e-01;9.99927105e-01;9.99961740e-01;9.99980541e-01;9.99990411e-01;9.99995422e-01;9.99997882e-01;9.99999051e-01;9.99999588e-01;9.99999827e-01;9.99999930e-01;9.99999972e-01;9.99999989e-01;9.99999996e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999998e-01;9.99999995e-01;9.99999987e-01;9.99999967e-01;9.99999921e-01;9.99999816e-01;9.99999584e-01;9.99999086e-01;9.99998048e-01;9.99995946e-01;9.99991812e-01;9.99983915e-01;9.99969269e-01;9.99942896e-01;9.99896790e-01;9.99818548e-01;9.99689685e-01;9.99483746e-01;9.99164472e-01;9.98684427e-01;9.97984681e-01;9.96996210e-01;9.95643701e-01;9.93852225e-01;9.91556821e-01;9.88714440e-01;9.85316962e-01;9.81403378e-01;9.77068769e-01;9.72467724e-01;9.67810254e-01;9.63349218e-01;9.59359567e-01;9.56111336e-01;9.53839759e-01;9.52717038e-01;9.52830531e-01;9.54171339e-01;9.56635485e-01;9.60037435e-01;9.64133414e-01;9.68650301e-01;9.73315295e-01;9.77882012e-01;9.82149832e-01;9.85974923e-01;9.89272849e-01;9.92013979e-01;9.94213744e-01;9.95920136e-01;9.97200760e-01;9.98131248e-01;9.98786174e-01;9.99232935e-01;9.99528414e-01;9.99717952e-01;9.99835902e-01;9.99907129e-01;9.99948875e-01;9.99972625e-01;9.99985744e-01;9.99992779e-01;9.99996443e-01;9.99998296e-01;9.99999206e-01;9.99999641e-01;9.99999842e-01;9.99999932e-01;9.99999972e-01;9.99999989e-01;9.99999996e-01;9.99999998e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999998e-01;9.99999995e-01;9.99999987e-01;9.99999969e-01;9.99999929e-01;9.99999842e-01;9.99999656e-01;9.99999270e-01;9.99998486e-01;9.99996940e-01;9.99993966e-01;9.99988394e-01;9.99978226e-01;9.99960151e-01;9.99928861e-01;9.99876107e-01;9.99789508e-01;9.99651111e-01;9.99435824e-01;9.99109924e-01;9.98629949e-01;9.97942426e-01;9.96984926e-01;9.95688954e-01;9.93985054e-01;9.91810198e-01;9.89117181e-01;9.85885185e-01;9.82130263e-01;9.77914092e-01;9.73349225e-01;9.68599238e-01;9.63872613e-01;9.59409958e-01;9.55465165e-01;9.52282212e-01;9.50070357e-01;9.48981195e-01;9.49091176e-01;9.50392529e-01;9.52794187e-01;9.56132565e-01;9.60190282e-01;9.64719717e-01;9.69467763e-01;9.74198414e-01;9.78710597e-01;9.82849750e-01;9.86512750e-01;9.89646732e-01;9.92243073e-01;9.94328188e-01;9.95952928e-01;9.97182136e-01;9.98085579e-01;9.98730958e-01;9.99179230e-01;9.99482081e-01;9.99681151e-01;9.99808494e-01;9.99887788e-01;9.99935857e-01;9.99964232e-01;9.99980544e-01;9.99989676e-01;9.99994657e-01;9.99997302e-01;9.99998672e-01;9.99999362e-01;9.99999701e-01;9.99999864e-01;9.99999939e-01;9.99999974e-01;9.99999989e-01;9.99999995e-01;9.99999998e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
