A one-dimensional setting of the electrical breakdown problem
eps_0 = 2.00000000e-01
delta = 4.00000000e-02
l = 1.00000000e+00
Gamma = 1.00000000e+00
m = 5.00000000e-01
Phi_gradient = 4.80000000e+00
x_grid = 25
x_skip = 1
t_grid = 71
t_skip = 1
width = 5.00000000e+00
duration = 1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.67274575e-01;9.67274575e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.97119241e-01;9.67165260e-01;9.67165260e-01;9.97119241e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99746412e-01;9.94462433e-01;9.66802235e-01;9.66802235e-01;9.94462433e-01;9.99746412e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99977677e-01;9.99279389e-01;9.91969309e-01;9.66204931e-01;9.66204931e-01;9.91969309e-01;9.99279389e-01;9.99977677e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99998035e-01;9.99916041e-01;9.98628639e-01;9.89589037e-01;9.65387503e-01;9.65387503e-01;9.89589037e-01;9.98628639e-01;9.99916041e-01;9.99998035e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999827e-01;9.99990802e-01;9.99801914e-01;9.97815605e-01;9.87278361e-01;9.64359653e-01;9.64359653e-01;9.87278361e-01;9.97815605e-01;9.99801914e-01;9.99990802e-01;9.99999827e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999985e-01;9.99999031e-01;9.99974091e-01;9.99624779e-01;9.96855143e-01;9.85000039e-01;9.63127288e-01;9.63127288e-01;9.85000039e-01;9.96855143e-01;9.99624779e-01;9.99974091e-01;9.99999031e-01;9.99999985e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999901e-01;9.99996827e-01;9.99943063e-01;9.99375912e-01;9.95756830e-01;9.82721566e-01;9.61693038e-01;9.61693038e-01;9.82721566e-01;9.95756830e-01;9.99375912e-01;9.99943063e-01;9.99996827e-01;9.99999901e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999990e-01;9.99999629e-01;9.99992062e-01;9.99892433e-01;9.99047725e-01;9.94525959e-01;9.80414103e-01;9.60056654e-01;9.60056654e-01;9.80414103e-01;9.94525959e-01;9.99047725e-01;9.99892433e-01;9.99992062e-01;9.99999629e-01;9.99999990e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999958e-01;9.99998960e-01;9.99983200e-01;9.99816574e-01;9.98633262e-01;9.93164320e-01;9.78051604e-01;9.58215313e-01;9.58215313e-01;9.78051604e-01;9.93164320e-01;9.98633262e-01;9.99816574e-01;9.99983200e-01;9.99998960e-01;9.99999958e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999995e-01;9.99999870e-01;9.99997561e-01;9.99968315e-01;9.99709565e-01;9.98125823e-01;9.91670781e-01;9.75610078e-01;9.56163828e-01;9.56163828e-01;9.75610078e-01;9.91670781e-01;9.98125823e-01;9.99709565e-01;9.99968315e-01;9.99997561e-01;9.99999870e-01;9.99999995e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999984e-01;9.99999665e-01;9.99994957e-01;9.99945086e-01;9.99565205e-01;9.97518669e-01;9.90041734e-01;9.73066967e-01;9.53894792e-01;9.53894792e-01;9.73066967e-01;9.90041734e-01;9.97518669e-01;9.99565205e-01;9.99945086e-01;9.99994957e-01;9.99999665e-01;9.99999984e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999998e-01;9.99999956e-01;9.99999247e-01;9.99990499e-01;9.99910792e-01;9.99377002e-01;9.96804797e-01;9.88271426e-01;9.70400626e-01;9.51398656e-01;9.51398656e-01;9.70400626e-01;9.88271426e-01;9.96804797e-01;9.99377002e-01;9.99910792e-01;9.99990499e-01;9.99999247e-01;9.99999956e-01;9.99999998e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999994e-01;9.99999893e-01;9.99998467e-01;9.99983346e-01;9.99862301e-01;9.99138136e-01;9.95976759e-01;9.86352193e-01;9.67589851e-01;9.48663741e-01;9.48663741e-01;9.67589851e-01;9.86352193e-01;9.95976759e-01;9.99138136e-01;9.99862301e-01;9.99983346e-01;9.99998467e-01;9.99999893e-01;9.99999994e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999985e-01;9.99999766e-01;9.99997115e-01;9.99972431e-01;9.99796062e-01;9.98841419e-01;9.95026517e-01;9.84274622e-01;9.64613469e-01;9.45676193e-01;9.45676193e-01;9.64613469e-01;9.84274622e-01;9.95026517e-01;9.98841419e-01;9.99796062e-01;9.99972431e-01;9.99997115e-01;9.99999766e-01;9.99999985e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;9.99999998e-01;9.99999966e-01;9.99999530e-01;9.99994900e-01;9.99956445e-01;9.99708082e-01;9.98479235e-01;9.93945321e-01;9.82027644e-01;9.61449950e-01;9.42419875e-01;9.42419875e-01;9.61449950e-01;9.82027644e-01;9.93945321e-01;9.98479235e-01;9.99708082e-01;9.99956445e-01;9.99994900e-01;9.99999530e-01;9.99999966e-01;9.99999998e-01;1.00000000e+00;1.00000000e+00
1.00000000e+00;1.00000000e+00;9.99999995e-01;9.99999927e-01;9.99999116e-01;9.99991436e-01;9.99933808e-01;9.99593907e-01;9.98043485e-01;9.92723601e-01;9.79598578e-01;9.58077031e-01;9.38876196e-01;9.38876196e-01;9.58077031e-01;9.79598578e-01;9.92723601e-01;9.98043485e-01;9.99593907e-01;9.99933808e-01;9.99991436e-01;9.99999116e-01;9.99999927e-01;9.99999995e-01;1.00000000e+00;1.00000000e+00
1.00000000e+00;9.99999999e-01;9.99999989e-01;9.99999855e-01;9.99998427e-01;9.99986221e-01;9.99902639e-01;9.99448594e-01;9.97525518e-01;9.91350870e-01;9.76973116e-01;9.54471339e-01;9.35023858e-01;9.35023858e-01;9.54471339e-01;9.76973116e-01;9.91350870e-01;9.97525518e-01;9.99448594e-01;9.99902639e-01;9.99986221e-01;9.99998427e-01;9.99999855e-01;9.99999989e-01;9.99999999e-01;1.00000000e+00
1.00000000e+00;9.99999998e-01;9.99999977e-01;9.99999727e-01;9.99997328e-01;9.99978622e-01;9.99860731e-01;9.99266672e-01;9.96916064e-01;9.89815626e-01;9.74135266e-01;9.50607987e-01;9.30838527e-01;9.30838527e-01;9.50607987e-01;9.74135266e-01;9.89815626e-01;9.96916064e-01;9.99266672e-01;9.99860731e-01;9.99978622e-01;9.99997328e-01;9.99999727e-01;9.99999977e-01;9.99999998e-01;1.00000000e+00
1.00000000e+00;9.99999997e-01;9.99999955e-01;9.99999512e-01;9.99995637e-01;9.99967849e-01;9.99805517e-01;9.99042109e-01;9.96205159e-01;9.88105252e-01;9.71067237e-01;9.46460139e-01;9.26292389e-01;9.26292389e-01;9.46460139e-01;9.71067237e-01;9.88105252e-01;9.96205159e-01;9.99042109e-01;9.99805517e-01;9.99967849e-01;9.99995637e-01;9.99999512e-01;9.99999955e-01;9.99999997e-01;1.00000000e+00
1.00000000e+00;9.99999993e-01;9.99999915e-01;9.99999163e-01;9.99993115e-01;9.99952935e-01;9.99734038e-01;9.98768266e-01;9.95382066e-01;9.86205905e-01;9.67749274e-01;9.41998499e-01;9.21353583e-01;9.21353583e-01;9.41998499e-01;9.67749274e-01;9.86205905e-01;9.95382066e-01;9.98768266e-01;9.99734038e-01;9.99952935e-01;9.99993115e-01;9.99999163e-01;9.99999915e-01;9.99999993e-01;1.00000000e+00
1.00000000e+00;9.99999986e-01;9.99999848e-01;9.99998617e-01;9.99989453e-01;9.99932708e-01;9.99642904e-01;9.98437846e-01;9.94435200e-01;9.84102398e-01;9.64159433e-01;9.37190726e-01;9.15985459e-01;9.15985459e-01;9.37190726e-01;9.64159433e-01;9.84102398e-01;9.94435200e-01;9.98437846e-01;9.99642904e-01;9.99932708e-01;9.99989453e-01;9.99998617e-01;9.99999848e-01;9.99999986e-01;1.00000000e+00
1.00000000e+00;9.99999974e-01;9.99999737e-01;9.99997787e-01;9.99984257e-01;9.99905766e-01;9.99528255e-01;9.98042839e-01;9.93352032e-01;9.81778049e-01;9.60273272e-01;9.32000713e-01;9.10145637e-01;9.10145637e-01;9.32000713e-01;9.60273272e-01;9.81778049e-01;9.93352032e-01;9.98042839e-01;9.99528255e-01;9.99905766e-01;9.99984257e-01;9.99997787e-01;9.99999737e-01;9.99999974e-01;1.00000000e+00
1.00000000e+00;9.99999953e-01;9.99999561e-01;9.99996556e-01;9.99977035e-01;9.99870446e-01;9.99385715e-01;9.97574465e-01;9.92119002e-01;9.79214511e-01;9.56063463e-01;9.26387708e-01;9.03784766e-01;9.03784766e-01;9.26387708e-01;9.56063463e-01;9.79214511e-01;9.92119002e-01;9.97574465e-01;9.99385715e-01;9.99870446e-01;9.99977035e-01;9.99996556e-01;9.99999561e-01;9.99999953e-01;1.00000000e+00
1.00000000e+00;9.99999918e-01;9.99999289e-01;9.99994773e-01;9.99967178e-01;9.99824788e-01;9.99210346e-01;9.97023107e-01;9.90721406e-01;9.76391557e-01;9.51499281e-01;9.20305204e-01;8.96844926e-01;8.96844926e-01;9.20305204e-01;9.51499281e-01;9.76391557e-01;9.90721406e-01;9.97023107e-01;9.99210346e-01;9.99824788e-01;9.99967178e-01;9.99994773e-01;9.99999289e-01;9.99999918e-01;1.00000000e+00
1.00000000e+00;9.99999862e-01;9.99998879e-01;9.99992242e-01;9.99953938e-01;9.99766506e-01;9.98996595e-01;9.96378237e-01;9.89143282e-01;9.73286818e-01;9.46545955e-01;9.13699527e-01;8.89257500e-01;8.89257500e-01;9.13699527e-01;9.46545955e-01;9.73286818e-01;9.89143282e-01;9.96378237e-01;9.98996595e-01;9.99766506e-01;9.99953938e-01;9.99992242e-01;9.99998879e-01;9.99999862e-01;1.00000000e+00
1.00000000e+00;9.99999774e-01;9.99998274e-01;9.99988714e-01;9.99936412e-01;9.99692942e-01;9.98738237e-01;9.95628343e-01;9.87367271e-01;9.69875448e-01;9.41163822e-01;9.06508003e-01;8.80940356e-01;8.80940356e-01;9.06508003e-01;9.41163822e-01;9.69875448e-01;9.87367271e-01;9.95628343e-01;9.98738237e-01;9.99692942e-01;9.99936412e-01;9.99988714e-01;9.99998274e-01;9.99999774e-01;1.00000000e+00
1.00000000e+00;9.99999641e-01;9.99997400e-01;9.99983873e-01;9.99913511e-01;9.99601024e-01;9.98428311e-01;9.94760838e-01;9.85374450e-01;9.66129707e-01;9.35307236e-01;8.98656542e-01;8.71794011e-01;8.71794011e-01;8.98656542e-01;9.35307236e-01;9.66129707e-01;9.85374450e-01;9.94760838e-01;9.98428311e-01;9.99601024e-01;9.99913511e-01;9.99983873e-01;9.99997400e-01;9.99999641e-01;1.00000000e+00
1.00000000e+00;9.99999441e-01;9.99996158e-01;9.99977330e-01;9.99883938e-01;9.99487225e-01;9.98059057e-01;9.93761966e-01;9.83144143e-01;9.62018418e-01;9.28923131e-01;8.90056410e-01;8.61696370e-01;8.61696370e-01;8.90056410e-01;9.28923131e-01;9.62018418e-01;9.83144143e-01;9.93761966e-01;9.98059057e-01;9.99487225e-01;9.99883938e-01;9.99977330e-01;9.99996158e-01;9.99999441e-01;1.00000000e+00
1.00000000e+00;9.99999148e-01;9.99994423e-01;9.99968601e-01;9.99846155e-01;9.99347504e-01;9.97621839e-01;9.92616698e-01;9.80653674e-01;9.57506273e-01;9.21949136e-01;8.80599829e-01;8.50495317e-01;8.50495317e-01;8.80599829e-01;9.21949136e-01;9.57506273e-01;9.80653674e-01;9.92616698e-01;9.97621839e-01;9.99347504e-01;9.99846155e-01;9.99968601e-01;9.99994423e-01;9.99999148e-01;1.00000000e+00
1.00000000e+00;9.99998725e-01;9.99992033e-01;9.99957097e-01;9.99798350e-01;9.99177254e-01;9.97107071e-01;9.91308603e-01;9.77878070e-01;9.52552933e-01;9.14311031e-01;8.70153868e-01;8.37998082e-01;8.37998082e-01;8.70153868e-01;9.14311031e-01;9.52552933e-01;9.77878070e-01;9.91308603e-01;9.97107071e-01;9.99177254e-01;9.99798350e-01;9.99957097e-01;9.99992033e-01;9.99998725e-01;1.00000000e+00
1.00000000e+00;9.99998127e-01;9.99988786e-01;9.99942101e-01;9.99738399e-01;9.98971243e-01;9.96504125e-01;9.89819709e-01;9.74789675e-01;9.47111832e-01;9.05919309e-01;8.58551753e-01;8.23955526e-01;8.23955526e-01;8.58551753e-01;9.05919309e-01;9.47111832e-01;9.74789675e-01;9.89819709e-01;9.96504125e-01;9.98971243e-01;9.99738399e-01;9.99942101e-01;9.99988786e-01;9.99998127e-01;1.00000000e+00
1.00000000e+00;9.99997290e-01;9.99984428e-01;9.99922750e-01;9.99663827e-01;9.98723544e-01;9.95801243e-01;9.88130337e-01;9.71357662e-01;9.41128608e-01;8.96664406e-01;8.45580215e-01;8.08038170e-01;8.08038170e-01;8.45580215e-01;8.96664406e-01;9.41128608e-01;9.71357662e-01;9.88130337e-01;9.95801243e-01;9.98723544e-01;9.99663827e-01;9.99922750e-01;9.99984428e-01;9.99997290e-01;1.00000000e+00
1.00000000e+00;9.99996138e-01;9.99978643e-01;9.99898010e-01;9.99571762e-01;9.98427465e-01;9.94985426e-01;9.86218888e-01;9.67547397e-01;9.34538971e-01;8.86409972e-01;8.30960466e-01;7.89798216e-01;7.89798216e-01;8.30960466e-01;8.86409972e-01;9.34538971e-01;9.67547397e-01;9.86218888e-01;9.94985426e-01;9.98427465e-01;9.99571762e-01;9.99898010e-01;9.99978643e-01;9.99996138e-01;1.00000000e+00
