A model with total free energy in the output
eps_0 = 2.00000000e-01
delta = 4.00000000e-02
l = 1.00000000e+00
Gamma = 1.00000000e+00
m = 5.00000000e-01
Phi_gradient = 4.80000000e+00
x_grid = 1600
x_skip = 1600
t_grid = 204800
t_skip = 128
width = 5.00000000e+00
duration = 1.00000000e+00
-1.10738191e+01
-1.10740286e+01
-1.10742181e+01
-1.10743932e+01
-1.10745562e+01
-1.10747087e+01
-1.10748519e+01
-1.10749866e+01
-1.10751138e+01
-1.10752339e+01
-1.10753477e+01
-1.10754557e+01
-1.10755581e+01
-1.10756556e+01
-1.10757484e+01
-1.10758369e+01
-1.10759213e+01
-1.10760019e+01
-1.10760791e+01
-1.10761529e+01
-1.10762237e+01
-1.10762917e+01
-1.10763569e+01
-1.10764196e+01
-1.10764799e+01
-1.10765379e+01
-1.10765939e+01
-1.10766479e+01
-1.10767000e+01
-1.10767504e+01
-1.10767991e+01
-1.10768462e+01
-1.10768919e+01
-1.10769362e+01
-1.10769791e+01
-1.10770208e+01
-1.10770613e+01
-1.10771008e+01
-1.10771391e+01
-1.10771764e+01
-1.10772128e+01
-1.10772483e+01
-1.10772829e+01
-1.10773168e+01
-1.10773498e+01
-1.10773821e+01
-1.10774137e+01
-1.10774447e+01
-1.10774750e+01
-1.10775048e+01
-1.10775339e+01
-1.10775626e+01
-1.10775907e+01
-1.10776183e+01
-1.10776455e+01
-1.10776722e+01
-1.10776985e+01
-1.10777244e+01
-1.10777499e+01
-1.10777750e+01
-1.10777998e+01
-1.10778243e+01
-1.10778485e+01
-1.10778724e+01
-1.10778960e+01
-1.10779193e+01
-1.10779424e+01
-1.10779652e+01
-1.10779878e+01
-1.10780102e+01
-1.10780323e+01
-1.10780543e+01
-1.10780761e+01
-1.10780977e+01
-1.10781192e+01
-1.10781405e+01
-1.10781616e+01
-1.10781826e+01
-1.10782035e+01
-1.10782243e+01
-1.10782449e+01
-1.10782654e+01
-1.10782859e+01
-1.10783062e+01
-1.10783264e+01
-1.10783466e+01
-1.10783667e+01
-1.10783867e+01
-1.10784066e+01
-1.10784265e+01
-1.10784463e+01
-1.10784661e+01
-1.10784859e+01
-1.10785056e+01
-1.10785252e+01
-1.10785448e+01
-1.10785644e+01
-1.10785840e+01
-1.10786036e+01
-1.10786232e+01
-1.10786427e+01
-1.10786622e+01
-1.10786818e+01
-1.10787013e+01
-1.10787208e+01
-1.10787404e+01
-1.10787599e+01
-1.10787795e+01
-1.10787991e+01
-1.10788187e+01
-1.10788384e+01
-1.10788580e+01
-1.10788777e+01
-1.10788975e+01
-1.10789172e+01
-1.10789370e+01
-1.10789569e+01
-1.10789768e+01
-1.10789967e+01
-1.10790167e+01
-1.10790367e+01
-1.10790568e+01
-1.10790769e+01
-1.10790971e+01
-1.10791174e+01
-1.10791377e+01
-1.10791581e+01
-1.10791786e+01
-1.10791991e+01
-1.10792197e+01
-1.10792404e+01
-1.10792611e+01
-1.10792820e+01
-1.10793029e+01
-1.10793239e+01
-1.10793449e+01
-1.10793661e+01
-1.10793873e+01
-1.10794087e+01
-1.10794301e+01
-1.10794516e+01
-1.10794732e+01
-1.10794950e+01
-1.10795168e+01
-1.10795387e+01
-1.10795607e+01
-1.10795828e+01
-1.10796051e+01
-1.10796274e+01
-1.10796499e+01
-1.10796724e+01
-1.10796951e+01
-1.10797179e+01
-1.10797408e+01
-1.10797638e+01
-1.10797870e+01
-1.10798102e+01
-1.10798336e+01
-1.10798571e+01
-1.10798808e+01
-1.10799045e+01
-1.10799284e+01
-1.10799525e+01
-1.10799766e+01
-1.10800009e+01
-1.10800254e+01
-1.10800500e+01
-1.10800747e+01
-1.10800995e+01
-1.10801245e+01
-1.10801497e+01
-1.10801750e+01
-1.10802004e+01
-1.10802260e+01
-1.10802517e+01
-1.10802776e+01
-1.10803037e+01
-1.10803299e+01
-1.10803563e+01
-1.10803828e+01
-1.10804095e+01
-1.10804363e+01
-1.10804634e+01
-1.10804905e+01
-1.10805179e+01
-1.10805454e+01
-1.10805731e+01
-1.10806010e+01
-1.10806290e+01
-1.10806572e+01
-1.10806856e+01
-1.10807142e+01
-1.10807429e+01
-1.10807719e+01
-1.10808010e+01
-1.10808303e+01
-1.10808598e+01
-1.10808895e+01
-1.10809194e+01
-1.10809494e+01
-1.10809797e+01
-1.10810102e+01
-1.10810408e+01
-1.10810717e+01
-1.10811027e+01
-1.10811340e+01
-1.10811655e+01
-1.10811972e+01
-1.10812291e+01
-1.10812612e+01
-1.10812935e+01
-1.10813260e+01
-1.10813587e+01
-1.10813917e+01
-1.10814249e+01
-1.10814583e+01
-1.10814919e+01
-1.10815258e+01
-1.10815599e+01
-1.10815942e+01
-1.10816287e+01
-1.10816635e+01
-1.10816985e+01
-1.10817337e+01
-1.10817692e+01
-1.10818050e+01
-1.10818409e+01
-1.10818771e+01
-1.10819136e+01
-1.10819503e+01
-1.10819873e+01
-1.10820245e+01
-1.10820620e+01
-1.10820997e+01
-1.10821377e+01
-1.10821759e+01
-1.10822144e+01
-1.10822532e+01
-1.10822922e+01
-1.10823316e+01
-1.10823711e+01
-1.10824110e+01
-1.10824511e+01
-1.10824916e+01
-1.10825322e+01
-1.10825732e+01
-1.10826145e+01
-1.10826560e+01
-1.10826979e+01
-1.10827400e+01
-1.10827824e+01
-1.10828251e+01
-1.10828682e+01
-1.10829115e+01
-1.10829551e+01
-1.10829990e+01
-1.10830433e+01
-1.10830878e+01
-1.10831327e+01
-1.10831778e+01
-1.10832233e+01
-1.10832691e+01
-1.10833153e+01
-1.10833617e+01
-1.10834085e+01
-1.10834556e+01
-1.10835031e+01
-1.10835509e+01
-1.10835990e+01
-1.10836474e+01
-1.10836962e+01
-1.10837454e+01
-1.10837949e+01
-1.10838447e+01
-1.10838949e+01
-1.10839455e+01
-1.10839964e+01
-1.10840477e+01
-1.10840993e+01
-1.10841514e+01
-1.10842037e+01
-1.10842565e+01
-1.10843096e+01
-1.10843631e+01
-1.10844170e+01
-1.10844713e+01
-1.10845260e+01
-1.10845810e+01
-1.10846365e+01
-1.10846923e+01
-1.10847485e+01
-1.10848052e+01
-1.10848622e+01
-1.10849197e+01
-1.10849776e+01
-1.10850359e+01
-1.10850946e+01
-1.10851537e+01
-1.10852132e+01
-1.10852732e+01
-1.10853336e+01
-1.10853945e+01
-1.10854557e+01
-1.10855175e+01
-1.10855796e+01
-1.10856422e+01
-1.10857053e+01
-1.10857688e+01
-1.10858328e+01
-1.10858972e+01
-1.10859621e+01
-1.10860275e+01
-1.10860933e+01
-1.10861596e+01
-1.10862264e+01
-1.10862937e+01
-1.10863615e+01
-1.10864297e+01
-1.10864985e+01
-1.10865677e+01
-1.10866375e+01
-1.10867077e+01
-1.10867785e+01
-1.10868498e+01
-1.10869216e+01
-1.10869939e+01
-1.10870667e+01
-1.10871401e+01
-1.10872140e+01
-1.10872884e+01
-1.10873634e+01
-1.10874389e+01
-1.10875150e+01
-1.10875916e+01
-1.10876688e+01
-1.10877465e+01
-1.10878248e+01
-1.10879037e+01
-1.10879832e+01
-1.10880632e+01
-1.10881438e+01
-1.10882250e+01
-1.10883068e+01
-1.10883892e+01
-1.10884722e+01
-1.10885558e+01
-1.10886400e+01
-1.10887249e+01
-1.10888103e+01
-1.10888964e+01
-1.10889831e+01
-1.10890704e+01
-1.10891584e+01
-1.10892471e+01
-1.10893363e+01
-1.10894263e+01
-1.10895168e+01
-1.10896081e+01
-1.10897000e+01
-1.10897926e+01
-1.10898859e+01
-1.10899799e+01
-1.10900745e+01
-1.10901699e+01
-1.10902659e+01
-1.10903627e+01
-1.10904601e+01
-1.10905583e+01
-1.10906572e+01
-1.10907569e+01
-1.10908572e+01
-1.10909583e+01
-1.10910602e+01
-1.10911628e+01
-1.10912662e+01
-1.10913703e+01
-1.10914752e+01
-1.10915809e+01
