A one-dimensional setting of the electrical breakdown problem

Gamma = 1
Phi_gradient = 4.8
delta = 0.04
duration = 1
l = 1
m = 0.5
t_grid = 100000
t_skip = 100
width = 5
x_grid = 1000
x_skip = 250
eps_0() =
	[-inf, inf]:0.2
phi_0() =
	[-inf, 2.25]: 1
	[2.25, 2.75]: 1 - 0.5 * 0.05 * (1 + cos(x / 0.5 * 2 * pi))
	[2.75, inf]: 1

1.00000000e+00;1.00000000e+00;9.50000000e-01;1.00000000e+00;1.00000000e+00;-1.10826432e+01;6.16045044e-03;2.65881348e-03
1.00000000e+00;1.00000000e+00;9.50650856e-01;1.00000000e+00;1.00000000e+00;-1.10825739e+01;5.79826715e-03;2.62726733e-03
1.00000000e+00;1.00000000e+00;9.51274167e-01;1.00000000e+00;1.00000000e+00;-1.10825117e+01;5.48232316e-03;2.59902354e-03
1.00000000e+00;1.00000000e+00;9.51870772e-01;1.00000000e+00;1.00000000e+00;-1.10824559e+01;5.19993548e-03;2.57368327e-03
1.00000000e+00;1.00000000e+00;9.52441493e-01;1.00000000e+00;1.00000000e+00;-1.10824057e+01;4.94510232e-03;2.55094381e-03
1.00000000e+00;1.00000000e+00;9.52987126e-01;1.00000000e+00;1.00000000e+00;-1.10823607e+01;4.71373463e-03;2.53055670e-03
1.00000000e+00;1.00000000e+00;9.53508447e-01;1.00000000e+00;1.00000000e+00;-1.10823204e+01;4.50272755e-03;2.51231150e-03
1.00000000e+00;1.00000000e+00;9.54006217e-01;1.00000000e+00;1.00000000e+00;-1.10822844e+01;4.30959421e-03;2.49602680e-03
1.00000000e+00;1.00000000e+00;9.54481186e-01;1.00000000e+00;1.00000000e+00;-1.10822524e+01;4.13227961e-03;2.48154439e-03
1.00000000e+00;1.00000000e+00;9.54934107e-01;1.00000000e+00;1.00000000e+00;-1.10822240e+01;3.96905085e-03;2.46872512e-03
1.00000000e+00;1.00000000e+00;9.55365741e-01;1.00000000e+00;1.00000000e+00;-1.10821989e+01;3.81842605e-03;2.45744580e-03
1.00000000e+00;1.00000000e+00;9.55776861e-01;1.00000000e+00;1.00000000e+00;-1.10821770e+01;3.67912484e-03;2.44759684e-03
1.00000000e+00;1.00000000e+00;9.56168248e-01;1.00000000e+00;1.00000000e+00;-1.10821580e+01;3.55003232e-03;2.43908032e-03
1.00000000e+00;1.00000000e+00;9.56540688e-01;1.00000000e+00;1.00000000e+00;-1.10821417e+01;3.43017159e-03;2.43180846e-03
1.00000000e+00;1.00000000e+00;9.56894963e-01;1.00000000e+00;1.00000000e+00;-1.10821279e+01;3.31868238e-03;2.42570227e-03
1.00000000e+00;1.00000000e+00;9.57231849e-01;1.00000000e+00;1.00000000e+00;-1.10821166e+01;3.21480388e-03;2.42069055e-03
1.00000000e+00;1.00000000e+00;9.57552108e-01;1.00000000e+00;1.00000000e+00;-1.10821075e+01;3.11786080e-03;2.41670891e-03
1.00000000e+00;1.00000000e+00;9.57856482e-01;1.00000000e+00;1.00000000e+00;-1.10821005e+01;3.02725182e-03;2.41369900e-03
1.00000000e+00;1.00000000e+00;9.58145690e-01;1.00000000e+00;1.00000000e+00;-1.10820955e+01;2.94243996e-03;2.41160786e-03
1.00000000e+00;1.00000000e+00;9.58420425e-01;1.00000000e+00;1.00000000e+00;-1.10820924e+01;2.86294442e-03;2.41038729e-03
1.00000000e+00;1.00000000e+00;9.58681353e-01;1.00000000e+00;1.00000000e+00;-1.10820911e+01;2.78833366e-03;2.40999340e-03
1.00000000e+00;1.00000000e+00;9.58929110e-01;1.00000000e+00;1.00000000e+00;-1.10820916e+01;2.71821944e-03;2.41038611e-03
1.00000000e+00;1.00000000e+00;9.59164303e-01;1.00000000e+00;1.00000000e+00;-1.10820936e+01;2.65225177e-03;2.41152881e-03
1.00000000e+00;1.00000000e+00;9.59387509e-01;1.00000000e+00;1.00000000e+00;-1.10820972e+01;2.59011446e-03;2.41338796e-03
1.00000000e+00;1.00000000e+00;9.59599274e-01;1.00000000e+00;1.00000000e+00;-1.10821023e+01;2.53152130e-03;2.41593285e-03
1.00000000e+00;1.00000000e+00;9.59800119e-01;1.00000000e+00;1.00000000e+00;-1.10821089e+01;2.47621274e-03;2.41913530e-03
1.00000000e+00;1.00000000e+00;9.59990534e-01;1.00000000e+00;1.00000000e+00;-1.10821168e+01;2.42395296e-03;2.42296940e-03
1.00000000e+00;1.00000000e+00;9.60170985e-01;1.00000000e+00;1.00000000e+00;-1.10821260e+01;2.37452736e-03;2.42741136e-03
1.00000000e+00;1.00000000e+00;9.60341909e-01;1.00000000e+00;1.00000000e+00;-1.10821365e+01;2.32774027e-03;2.43243926e-03
1.00000000e+00;1.00000000e+00;9.60503722e-01;1.00000000e+00;1.00000000e+00;-1.10821482e+01;2.28341302e-03;2.43803292e-03
1.00000000e+00;1.00000000e+00;9.60656816e-01;1.00000000e+00;1.00000000e+00;-1.10821612e+01;2.24138220e-03;2.44417375e-03
1.00000000e+00;1.00000000e+00;9.60801561e-01;1.00000000e+00;1.00000000e+00;-1.10821752e+01;2.20149813e-03;2.45084460e-03
1.00000000e+00;1.00000000e+00;9.60938304e-01;1.00000000e+00;1.00000000e+00;-1.10821904e+01;2.16362348e-03;2.45802962e-03
1.00000000e+00;1.00000000e+00;9.61067377e-01;1.00000000e+00;1.00000000e+00;-1.10822067e+01;2.12763208e-03;2.46571420e-03
1.00000000e+00;1.00000000e+00;9.61189091e-01;1.00000000e+00;1.00000000e+00;-1.10822240e+01;2.09340786e-03;2.47388485e-03
