A one-dimensional setting of the electrical breakdown problem

Phi_gradient = 5.625e+06
adaptation_type = 0
delta = 0.001
dt_max = 1.28e-8
duration = 1e-5
l = 1.5e-06
m = 12
t_grid = 100000
t_skip = 16
tol_energy = 2e-7
tol_phi = 5e-4
tol_stability = 0.2
width = 3.2e-5
x_grid = 64
x_skip = 1
Gamma() =
	[-inf, inf]:2.6 * 3.12228e-10
eps_0() =
	[-inf, inf]:2.6 * 8.85e-12
phi_0() =
	[-inf, 3.2e-5 * 0.42]:				1
	[3.2e-5 * 0.42, 3.2e-5 * 0.58]:		1 - 0.05 * 0.5 * (1 + cos((x / 3.2e-5 - 0.5) / 0.08 * pi))
	[3.2e-5 * 0.58, inf]:				1
t_0 = 0.00000000e+00

4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;9.99932261e-01;9.94325261e-01;9.81667819e-01;9.66577754e-01;9.54560380e-01;9.50000000e-01;9.54560380e-01;9.66577754e-01;9.81667819e-01;9.94325261e-01;9.99932261e-01;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1.17601725e-02;4.35396234e-07;9.82332175e-06;6.60978980e+04;inf;5.25240248e+04;7.56453708e-09;1.00000000e-10;1.28000000e-08
4;16;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;9.99999998e-01;9.99932089e-01;9.94324857e-01;9.81661903e-01;9.66544253e-01;9.54479554e-01;9.49893946e-01;9.54479554e-01;9.66544253e-01;9.81661903e-01;9.94324857e-01;9.99932089e-01;9.99999998e-01;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1.17608978e-02;4.37127345e-07;9.85318568e-06;6.64948492e+04;4.35720747e+02;5.25240248e+04;7.51937941e-09;4.59009587e-10;1.28000000e-08
4;16;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;9.99999996e-01;9.99931916e-01;9.94324452e-01;9.81655980e-01;9.66510655e-01;9.54398318e-01;9.49787254e-01;9.54398318e-01;9.66510655e-01;9.81655980e-01;9.94324452e-01;9.99931916e-01;9.99999996e-01;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1.17616307e-02;4.38872616e-07;9.88324704e-06;6.68956851e+04;4.40343886e+02;5.25240248e+04;7.47432363e-09;4.54190478e-10;1.28000000e-08
4;16;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;9.99999994e-01;9.99931743e-01;9.94324048e-01;9.81650051e-01;9.66476958e-01;9.54316668e-01;9.49679918e-01;9.54316668e-01;9.66476958e-01;9.81650051e-01;9.94324048e-01;9.99931743e-01;9.99999994e-01;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1.17623712e-02;4.40632218e-07;9.91350785e-06;6.73004582e+04;4.45033443e+02;5.25240248e+04;7.42936992e-09;4.49404428e-10;1.28000000e-08
4;16;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;9.99999992e-01;9.99931571e-01;9.94323643e-01;9.81644116e-01;9.66443163e-01;9.54234601e-01;9.49571931e-01;9.54234601e-01;9.66443163e-01;9.81644116e-01;9.94323643e-01;9.99931571e-01;9.99999992e-01;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1.17631196e-02;4.42406324e-07;9.94397015e-06;6.77092220e+04;4.49790618e+02;5.25240248e+04;7.38451846e-09;4.44651337e-10;1.28000000e-08
4;16;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;9.99999989e-01;9.99931398e-01;9.94323238e-01;9.81638175e-01;9.66409268e-01;9.54152113e-01;9.49463288e-01;9.54152113e-01;9.66409268e-01;9.81638175e-01;9.94323238e-01;9.99931398e-01;9.99999989e-01;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1.17638758e-02;4.44195113e-07;9.97463605e-06;6.81220308e+04;4.54616646e+02;5.25240248e+04;7.33976944e-09;4.39931097e-10;1.28000000e-08
4;16;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;9.99999987e-01;9.99931225e-01;9.94322832e-01;9.81632227e-01;9.66375273e-01;9.54069201e-01;9.49353980e-01;9.54069201e-01;9.66375273e-01;9.81632227e-01;9.94322832e-01;9.99931225e-01;9.99999987e-01;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1.17646400e-02;4.45998764e-07;1.00055076e-05;6.85389400e+04;4.59512786e+02;5.25240248e+04;7.29512303e-09;4.35243601e-10;1.28000000e-08
4;16;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;9.99999985e-01;9.99931052e-01;9.94322427e-01;9.81626273e-01;9.66341178e-01;9.53985862e-01;9.49244003e-01;9.53985862e-01;9.66341178e-01;9.81626273e-01;9.94322427e-01;9.99931052e-01;9.99999985e-01;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1.17654123e-02;4.47817459e-07;1.00365871e-05;6.89600059e+04;4.64480318e+02;5.25240248e+04;7.25057943e-09;4.30588751e-10;1.28000000e-08
4;16;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;9.99999983e-01;9.99930880e-01;9.94322021e-01;9.81620313e-01;9.66306982e-01;9.53902091e-01;9.49133348e-01;9.53902091e-01;9.66306982e-01;9.81620313e-01;9.94322021e-01;9.99930880e-01;9.99999983e-01;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1.17661929e-02;4.49651386e-07;1.00678765e-05;6.93852857e+04;4.69520562e+02;5.25240248e+04;7.20613881e-09;4.25966435e-10;1.28000000e-08
4;16;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;9.99999981e-01;9.99930707e-01;9.94321615e-01;9.81614346e-01;9.66272685e-01;9.53817885e-01;9.49022010e-01;9.53817885e-01;9.66272685e-01;9.81614346e-01;9.94321615e-01;9.99930707e-01;9.99999981e-01;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1.17669818e-02;4.51500732e-07;1.00993781e-05;6.98148377e+04;4.74634855e+02;5.25240248e+04;7.16180136e-09;4.21376555e-10;1.28000000e-08
