iter model_time time_step_prev dphi_dt_abs_max time_step_phi phi_integral
76 7.600000e-09 1.000000e-10 3.620837e+04 2.762848e-08 4.487486e-15
77 7.700000e-09 1.000000e-10 3.622220e+04 2.761793e-08 4.487484e-15
78 7.800000e-09 1.000000e-10 3.623605e+04 2.760738e-08 4.487482e-15
79 7.900000e-09 1.000000e-10 3.624990e+04 2.759683e-08 4.487480e-15
80 8.000000e-09 1.000000e-10 3.626375e+04 2.758629e-08 4.487478e-15
81 8.100000e-09 1.000000e-10 3.627761e+04 2.757575e-08 4.487476e-15
82 8.200000e-09 1.000000e-10 3.629147e+04 2.756521e-08 4.487474e-15
83 8.300000e-09 1.000000e-10 3.630534e+04 2.755468e-08 4.487472e-15
84 8.400000e-09 1.000000e-10 3.631922e+04 2.754415e-08 4.487470e-15
85 8.500000e-09 1.000000e-10 3.633310e+04 2.753363e-08 4.487468e-15
86 8.600000e-09 1.000000e-10 3.634698e+04 2.752311e-08 4.487467e-15
87 8.700000e-09 1.000000e-10 3.636087e+04 2.751260e-08 4.487465e-15
88 8.800000e-09 1.000000e-10 3.637477e+04 2.750209e-08 4.487463e-15
89 8.900000e-09 1.000000e-10 3.638867e+04 2.749159e-08 4.487461e-15
90 9.000000e-09 1.000000e-10 3.640257e+04 2.748108e-08 4.487459e-15
91 9.100000e-09 1.000000e-10 3.641648e+04 2.747059e-08 4.487457e-15
92 9.200000e-09 1.000000e-10 3.643040e+04 2.746009e-08 4.487455e-15
93 9.300000e-09 1.000000e-10 3.644432e+04 2.744960e-08 4.487453e-15
94 9.400000e-09 1.000000e-10 3.645824e+04 2.743912e-08 4.487451e-15
95 9.500000e-09 1.000000e-10 3.647217e+04 2.742864e-08 4.487449e-15
96 9.600000e-09 1.000000e-10 3.648611e+04 2.741816e-08 4.487447e-15
97 9.700000e-09 1.000000e-10 3.650005e+04 2.740769e-08 4.487446e-15
98 9.800000e-09 1.000000e-10 3.651400e+04 2.739722e-08 4.487444e-15
99 9.900000e-09 1.000000e-10 3.652795e+04 2.738676e-08 4.487442e-15
100 1.000000e-08 1.000000e-10 3.654190e+04 2.737630e-08 4.487440e-15
