iter model_time time_step_prev dphi_dt_abs_max time_step_phi phi_integral
76 6.034183e-07 3.418283e-09 2.941044e+05 3.418283e-09 4.440599e-15
77 6.068184e-07 3.400153e-09 2.975159e+05 3.400153e-09 4.439867e-15
78 6.101796e-07 3.361165e-09 3.009490e+05 3.361165e-09 4.439129e-15
79 6.135024e-07 3.322822e-09 3.043824e+05 3.322822e-09 4.438389e-15
80 6.167878e-07 3.285341e-09 3.078161e+05 3.285341e-09 4.437648e-15
81 6.200365e-07 3.248693e-09 3.112501e+05 3.248693e-09 4.436905e-15
82 6.232493e-07 3.212851e-09 3.146846e+05 3.212851e-09 4.436161e-15
83 6.264271e-07 3.177785e-09 3.181198e+05 3.177785e-09 4.435415e-15
84 6.295706e-07 3.143470e-09 3.215559e+05 3.143470e-09 4.434668e-15
85 6.326804e-07 3.109879e-09 3.249931e+05 3.109879e-09 4.433919e-15
86 6.357574e-07 3.076989e-09 3.284314e+05 3.076989e-09 4.433169e-15
87 6.388022e-07 3.044776e-09 3.318710e+05 3.044776e-09 4.432417e-15
88 6.418154e-07 3.013219e-09 3.353122e+05 3.013219e-09 4.431664e-15
89 6.447977e-07 2.982296e-09 3.387550e+05 2.982296e-09 4.430909e-15
90 6.477497e-07 2.951986e-09 3.421996e+05 2.951986e-09 4.430154e-15
91 6.506720e-07 2.922271e-09 3.456461e+05 2.922271e-09 4.429397e-15
92 6.535651e-07 2.893132e-09 3.490948e+05 2.893132e-09 4.428638e-15
93 6.564297e-07 2.864551e-09 3.525458e+05 2.864551e-09 4.427878e-15
94 6.592662e-07 2.836511e-09 3.559992e+05 2.836511e-09 4.427117e-15
95 6.620752e-07 2.808995e-09 3.594552e+05 2.808995e-09 4.426355e-15
96 6.648572e-07 2.781988e-09 3.629139e+05 2.781988e-09 4.425592e-15
97 6.676126e-07 2.755475e-09 3.663755e+05 2.755475e-09 4.424827e-15
98 6.703421e-07 2.729440e-09 3.698401e+05 2.729440e-09 4.424061e-15
99 6.730459e-07 2.703871e-09 3.733079e+05 2.703871e-09 4.423294e-15
100 6.757247e-07 2.678754e-09 3.767790e+05 2.678754e-09 4.422526e-15
101 6.783788e-07 2.654076e-09 3.802536e+05 2.654076e-09 4.421756e-15
